catalog_version,variable,subset,bin_count,k_best,n_star,DeltaD_star,local_p,global_p,null_n,verdict_label,notes
cumulative,M_chirp,cumulative_pa0.5,20,32.69747899159664,23.129202316812606,80.41047539922894,3.460087833937002e-18,0.0024937655860349127,400,PARTIAL,variable_stress;n_events=277
cumulative,M_total,cumulative_pa0.5,20,23.735294117647058,16.846273927903113,63.7223352480776,1.4550258661350412e-14,0.004987531172069825,400,PARTIAL,variable_stress;n_events=277
cumulative,D_L,cumulative_pa0.5,20,27.386554621848738,23.60718684086851,20.323170966720763,3.862597874618395e-05,0.0024937655860349127,400,PARTIAL,variable_stress;n_events=277
cumulative,M_final,cumulative_pa0.5,20,24.399159663865547,16.98166364406223,69.13379229477366,9.722719278586151e-16,0.0024937655860349127,400,PARTIAL,variable_stress;n_events=265
cumulative,redshift,cumulative_pa0.5,20,20.747899159663866,15.808923507868498,17.709813061799352,0.000142679952426773,0.004987531172069825,400,PARTIAL,variable_stress;n_events=277
cumulative,abs_chi_eff,cumulative_pa0.5,20,20.415966386554622,13.804643952806122,32.50493341995487,8.742656002732672e-08,0.0024937655860349127,400,PARTIAL,variable_stress;bounded_non_scale_diagnostic_only;n_events=264
