catalog_version,variable,subset,bin_count,k_best,n_star,DeltaD_star,local_p,global_p,null_n,verdict_label,notes
cumulative,M_chirp,cumulative_pa0.5,20,32.69747899159664,23.129202316812606,80.41047539922894,3.460087833937002e-18,0.0024937655860349127,400,PARTIAL,threshold_stress;n_events=277
cumulative,M_chirp,cumulative_pa0.9,20,32.69747899159664,23.129202316812606,81.47867562611565,2.0282915968767723e-18,0.004987531172069825,400,PARTIAL,threshold_stress;n_events=247
cumulative,M_chirp,cumulative_far1yr,20,32.69747899159664,23.129202316812606,82.56587003699181,1.177739184534568e-18,0.0024937655860349127,400,PARTIAL,threshold_stress;n_events=255
cumulative,M_chirp,cumulative_BBH_pa0.5,20,4.815126050420168,2.449904273847194,70.67234374505566,4.505007768052981e-16,0.0024937655860349127,400,PARTIAL,threshold_stress;n_events=270
O3a,M_chirp,O3a_pa0.5,20,36.016806722689076,22.734631903426106,26.44780333122754,1.8068931746556762e-06,0.0024937655860349127,400,PARTIAL,threshold_stress;n_events=123
O3b,M_chirp,O3b_pa0.5,20,4.815126050420168,2.482397574678359,10.694742246831254,0.0047606497239968786,0.07231920199501247,400,FAIL,threshold_stress;n_events=35
O4a,M_chirp,O4a_pa0.5,20,36.34873949579832,22.86514464946695,36.13561809831834,1.4231485343519905e-08,0.0024937655860349127,400,PARTIAL,threshold_stress;n_events=172
O4b,M_chirp,O4b_pa0.5,20,5.147058823529411,1.828496132507633,26.186378251967092,2.0592079776054225e-06,0.0024937655860349127,400,PARTIAL,threshold_stress;n_events=104
