scan_id,subset,x_var,y_var,n_events,k_best,delta_chi2,outer_global_p
scan_045,rank_top24_final_mass_source,log_final_mass_source,final_spin,24,64.45386346586648,7.818174953838554,0.12487512487512488
scan_046,distant_luminosity_distance_ge_q0.75_4054.52,log_total_mass_source,final_spin,22,50.85596399099775,7.1778045714514125,0.13086913086913088
scan_047,rank_top24_final_mass_source,log_total_mass_source,final_spin,24,63.87734433608403,7.700153517950838,0.13486513486513488
scan_048,rank_top16_final_spin,log_chirp_mass_source,final_spin,16,43.36121530382596,5.333984244778199,0.5144855144855145
scan_049,rank_top24_chirp_mass_source,log_total_mass_source,final_spin,24,63.87734433608403,7.700153517950838,0.13486513486513488
scan_050,low_final_spin_final_spin_le_q0.25_0.668474,log_chirp_mass_source,final_spin,22,77.87284321080271,39.41966430637012,0.06693306693306693
scan_051,all_events,log_total_mass_source,final_spin,86,3.024756189047262,118.42232647542724,0.08091908091908091
scan_052,rank_top16_final_mass_source,log_chirp_mass_source,final_spin,16,0.5,5.582669085126938,0.19080919080919082
scan_053,rank_top12_eta_gap_from_equal_mass,log_total_mass_source,final_spin,12,17.735933983495876,31.567550410129016,0.05194805194805195
scan_054,high_chirp_mass_chirp_mass_source_ge_q0.75_34.5278,log_final_mass_source,final_spin,22,64.51350337584397,7.5952829769756,0.14285714285714285
scan_055,rank_top12_asymmetry_1_minus_q,log_total_mass_source,final_spin,12,17.735933983495876,31.567550410129016,0.05194805194805195
scan_056,rank_top12_asymmetry_1_minus_q,log_final_mass_source,final_spin,12,17.755813953488374,31.52523340776616,0.04995004995004995
scan_057,high_final_mass_final_mass_source_ge_q0.75_78.4023,log_total_mass_source,final_spin,22,64.076144036009,7.760337384981755,0.13286713286713286
scan_058,high_chirp_mass_chirp_mass_source_ge_q0.75_34.5278,log_total_mass_source,final_spin,22,64.076144036009,7.760337384981755,0.13286713286713286
scan_059,high_mass_total_mass_source_ge_q0.75_82.1085,log_total_mass_source,final_spin,22,64.076144036009,7.760337384981755,0.13286713286713286
scan_060,rank_top16_eta_gap_from_equal_mass,log_chirp_mass_source,final_spin,16,47.25768942235559,66.05137649465723,0.015984015984015984
scan_061,high_mass_total_mass_source_ge_q0.75_82.1085,log_final_mass_source,final_spin,22,64.51350337584397,7.5952829769756,0.14285714285714285
scan_062,rank_top12_eta_gap_from_equal_mass,log_final_mass_source,final_spin,12,17.755813953488374,31.52523340776616,0.04995004995004995
scan_063,high_final_mass_final_mass_source_ge_q0.75_78.4023,log_final_mass_source,final_spin,22,64.51350337584397,7.5952829769756,0.14285714285714285
scan_064,rank_top16_total_mass_source,log_chirp_mass_source,final_spin,16,0.5,5.582669085126938,0.19080919080919082
scan_065,rank_top16_asymmetry_1_minus_q,log_chirp_mass_source,final_spin,16,47.25768942235559,66.05137649465723,0.015984015984015984
scan_066,rank_top20_eta_gap_from_equal_mass,log_chirp_mass_source,final_spin,20,13.501500375093777,66.89062343458912,0.015984015984015984
scan_067,rank_top16_final_spin,log_final_mass_source,final_spin,16,75.7655663915979,4.961170519780796,0.5764235764235764
scan_068,rank_top20_asymmetry_1_minus_q,log_chirp_mass_source,final_spin,20,13.501500375093777,66.89062343458912,0.015984015984015984
scan_069,rank_top12_final_mass_source,log_chirp_mass_source,final_spin,12,41.23405851462866,1.7814077300504445,0.7132867132867133
scan_070,rank_top12_chirp_mass_source,log_chirp_mass_source,final_spin,12,41.23405851462866,1.7814077300504445,0.7132867132867133
scan_071,rank_top12_total_mass_source,log_chirp_mass_source,final_spin,12,41.23405851462866,1.7814077300504445,0.7132867132867133
scan_072,all_events,log_chirp_mass_source,final_spin,86,2.6271567891973,92.26173400634084,0.16383616383616384
scan_073,rank_top24_total_mass_source,log_chirp_mass_source,final_spin,24,9.62490622655664,6.284765590271345,0.23376623376623376
scan_074,rank_top12_final_spin,log_final_mass_source,final_spin,12,76.46136534133534,2.717027869317988,0.7252747252747253
scan_075,high_snr_network_matched_filter_snr_ge_q0.75_12.3913,log_final_mass_source,final_spin,22,0.5,165.43950977220112,0.04895104895104895
scan_076,rank_top16_final_mass_source,log_total_mass_source,final_spin,16,0.5,4.479531563253743,0.3206793206793207
scan_077,rank_top20_final_spin,log_final_mass_source,final_spin,20,75.20892723180796,6.312440627235858,0.5664335664335665
scan_078,rank_top16_final_mass_source,log_final_mass_source,final_spin,16,0.5,4.562669211822831,0.3096903096903097
scan_079,rank_top16_total_mass_source,log_total_mass_source,final_spin,16,0.5,4.479531563253743,0.3206793206793207
scan_080,rank_top32_network_matched_filter_snr,log_final_mass_source,final_spin,32,5.847711927981996,113.11978748129468,0.14985014985014986
scan_081,rank_top24_final_mass_source,log_chirp_mass_source,final_spin,24,9.62490622655664,6.284765590271345,0.23376623376623376
scan_082,rank_top20_total_mass_source,log_chirp_mass_source,final_spin,20,0.5,4.547294906263458,0.36663336663336665
scan_083,rank_top24_network_matched_filter_snr,log_total_mass_source,final_spin,24,0.5,156.55636956130368,0.06493506493506493
scan_084,rank_top16_final_spin,log_total_mass_source,final_spin,16,75.64628657164292,4.298899374699621,0.6543456543456544
scan_085,rank_top20_chirp_mass_source,log_chirp_mass_source,final_spin,20,0.5,4.547294906263458,0.36663336663336665
scan_086,rank_top16_total_mass_source,log_final_mass_source,final_spin,16,0.5,4.562669211822831,0.3096903096903097
scan_087,high_snr_network_matched_filter_snr_ge_q0.75_12.3913,log_total_mass_source,final_spin,22,0.5,160.71092973808155,0.04795204795204795
scan_088,rank_top32_network_matched_filter_snr,log_total_mass_source,final_spin,32,3.004876219054764,111.27318852922824,0.15784215784215785
scan_089,high_final_spin_final_spin_ge_q0.75_0.721275,log_final_mass_source,final_spin,22,74.91072768192049,6.436646042918348,0.6063936063936064
scan_090,rank_top24_chirp_mass_source,log_chirp_mass_source,final_spin,24,9.62490622655664,6.284765590271345,0.23376623376623376
