scan_id,subset,x_var,y_var,n_events,k_best,delta_chi2,outer_global_p
scan_123,rank_top16_network_matched_filter_snr,log_chirp_mass_source,final_spin,16,4.913353338334584,9.582480448936304,0.8721278721278721
scan_124,rank_top32_network_matched_filter_snr,log_chirp_mass_source,final_spin,32,2.6470367591897976,86.9446776800719,0.21678321678321677
scan_125,rank_top32_total_mass_source,log_final_mass_source,final_spin,32,10.24118529632408,4.905639706961892,0.5664335664335665
scan_126,high_final_spin_final_spin_ge_q0.75_0.721275,log_chirp_mass_source,final_spin,22,63.1020255063766,5.392744277000509,0.9280719280719281
scan_127,rank_top20_abs_chi_eff,log_total_mass_source,final_spin,20,79.44336084021006,14.618579424873149,0.2827172827172827
scan_128,rank_top32_final_mass_source,log_final_mass_source,final_spin,32,10.24118529632408,4.905639706961892,0.5664335664335665
scan_129,upper_half_mass_total_mass_source_ge_q0.50_62.2475,log_chirp_mass_source,final_spin,43,34.01762940735184,6.676903510279541,0.5924075924075924
scan_130,rank_top16_network_matched_filter_snr,log_final_mass_source,final_spin,16,4.813953488372094,8.939092128249523,0.8821178821178821
scan_131,rank_top16_chirp_mass_source,log_chirp_mass_source,final_spin,16,11.473743435858966,2.2849706897624484,0.6853146853146853
scan_132,rank_top16_network_matched_filter_snr,log_total_mass_source,final_spin,16,4.794073518379595,8.864182898106714,0.8811188811188811
scan_133,upper_half_mass_total_mass_source_ge_q0.50_62.2475,log_final_mass_source,final_spin,43,78.38972243060766,6.640914802959994,0.6083916083916084
scan_134,rank_top24_final_spin,log_chirp_mass_source,final_spin,24,63.1616654163541,5.715761349325346,0.9370629370629371
scan_135,rank_top20_final_mass_source,log_total_mass_source,final_spin,20,11.652663165791449,3.334763160786899,0.5564435564435565
scan_136,rank_top20_abs_chi_eff,log_final_mass_source,final_spin,20,80.0,12.17186173922159,0.35864135864135865
scan_137,rank_top32_chirp_mass_source,log_final_mass_source,final_spin,32,44.31545386346587,4.640932442410023,0.6203796203796204
scan_138,rank_top20_abs_chi_eff,log_chirp_mass_source,final_spin,20,31.05551387846962,13.32830880336946,0.35264735264735264
scan_139,rank_top20_chirp_mass_source,log_total_mass_source,final_spin,20,11.652663165791449,3.334763160786899,0.5564435564435565
scan_140,rank_top20_total_mass_source,log_final_mass_source,final_spin,20,11.175543885971496,3.33740326784606,0.5564435564435565
scan_141,rank_top32_final_spin,log_chirp_mass_source,final_spin,32,23.282445611402853,6.490798741450298,0.929070929070929
scan_142,low_chi_eff_chi_eff_le_q0.25_-0.0269208,log_final_mass_source,final_spin,22,48.37096774193549,2.6285374527727168,0.997002997002997
scan_143,rank_top16_abs_chi_eff,log_chirp_mass_source,final_spin,16,43.08289572393099,7.536476240562823,0.4755244755244755
scan_144,rank_top20_final_mass_source,log_final_mass_source,final_spin,20,11.175543885971496,3.33740326784606,0.5564435564435565
scan_145,rank_top24_final_spin,log_final_mass_source,final_spin,24,75.16916729182296,6.10667590055748,0.9280719280719281
scan_146,rank_top20_chirp_mass_source,log_final_mass_source,final_spin,20,11.175543885971496,3.33740326784606,0.5564435564435565
scan_147,rank_top20_total_mass_source,log_total_mass_source,final_spin,20,11.652663165791449,3.334763160786899,0.5564435564435565
scan_148,low_chi_eff_chi_eff_le_q0.25_-0.0269208,log_total_mass_source,final_spin,22,48.271567891973,2.5091337164043703,0.997002997002997
scan_149,rank_top12_abs_chi_eff,log_chirp_mass_source,final_spin,12,53.81807951987997,4.656940860443572,0.6163836163836164
scan_150,rank_top16_abs_chi_eff,log_final_mass_source,final_spin,16,38.98762190547637,6.7446193774439145,0.5244755244755245
scan_151,rank_top12_abs_chi_eff,log_final_mass_source,final_spin,12,79.46324081020256,4.5720179976311375,0.6083916083916084
scan_152,high_abs_chi_eff_abs_chi_eff_ge_q0.75_0.14052,log_chirp_mass_source,final_spin,22,31.194673668417103,12.95514543989077,0.5294705294705294
scan_153,rank_top24_final_spin,log_total_mass_source,final_spin,24,75.12940735183797,5.365318470474653,0.949050949050949
scan_154,rank_top24_abs_chi_eff,log_total_mass_source,final_spin,24,23.32220555138785,13.752696733999937,0.4865134865134865
scan_155,low_chi_eff_chi_eff_le_q0.25_-0.0269208,log_chirp_mass_source,final_spin,22,9.326706676669168,2.1993849796724376,0.998001998001998
scan_156,high_chi_eff_chi_eff_ge_q0.75_0.113409,log_chirp_mass_source,final_spin,22,63.79782445611404,5.217291311422592,0.9370629370629371
scan_157,rank_top12_abs_chi_eff,log_total_mass_source,final_spin,12,76.66016504126033,3.844301250393357,0.7072927072927073
scan_158,high_chi_eff_chi_eff_ge_q0.75_0.113409,log_final_mass_source,final_spin,22,23.36196549137285,5.236257217104052,0.951048951048951
scan_159,rank_top16_abs_chi_eff,log_total_mass_source,final_spin,16,39.02738184546137,6.229671508635747,0.5774225774225774
scan_160,high_chi_eff_chi_eff_ge_q0.75_0.113409,log_total_mass_source,final_spin,22,23.32220555138785,5.059296395359787,0.9560439560439561
scan_161,rank_top24_abs_chi_eff,log_chirp_mass_source,final_spin,24,31.194673668417103,13.96921719693076,0.4695304695304695
scan_162,high_abs_chi_eff_abs_chi_eff_ge_q0.75_0.14052,log_total_mass_source,final_spin,22,79.14516129032259,11.998724588713731,0.5844155844155844
scan_163,rank_top24_abs_chi_eff,log_final_mass_source,final_spin,24,38.33158289572393,11.97707246897376,0.5664335664335665
scan_164,high_abs_chi_eff_abs_chi_eff_ge_q0.75_0.14052,log_final_mass_source,final_spin,22,31.234433608402103,10.164506768566302,0.6553446553446554
scan_165,rank_top32_abs_chi_eff,log_total_mass_source,final_spin,32,30.797074268567144,11.974421238405242,0.7142857142857143
scan_166,rank_top32_abs_chi_eff,log_final_mass_source,final_spin,32,30.85671417854464,13.15141533418727,0.6533466533466533
scan_167,rank_top32_abs_chi_eff,log_chirp_mass_source,final_spin,32,31.115153788447117,10.523587239717688,0.7832167832167832
