k_best,delta_chi2,chi2_baseline,chi2_harmonic,amplitude,phase,baseline_degree,n_points,subset,subset_events,x_var,y_var,n_events,x_min,x_max,delta_x,n_obs,scan_csv,events,scan_null_p,tail_count_ge,null_n,null_max_median,null_max_p95,null_max_p99,null_csv
67.3364591147787,93.0567530355057,123.20802076111086,30.151267725605166,0.14171486771619604,-1.3941084614861587,2,22,low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343,22,log_final_mass_source,final_spin,22,1.5931077560242892,4.9752887399350465,3.3821809839107573,36.2465979288647,outputs_gwtc4_wct_subsets\scans\scan_low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343_log_final_mass_source_final_spin.csv,"GW230529_181500,GW230518_125908,GW231223_075055,GW231118_090602,GW231118_005626,GW231114_043211,GW230624_113103,GW230712_090405,GW230911_195324,GW230811_032116,GW230702_185453,GW231129_081745,GW231008_142521,GW230928_215827,GW240107_013215,GW230820_212515,GW231004_232346,GW230819_171910,GW231001_140220,GW231005_021030,GW230704_212616,GW231028_153006",0.043912175648702596,21,500,44.294607242450105,89.46204093292198,111.77069969885147,outputs_gwtc4_wct_subsets\nulls\null_low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343_log_final_mass_source_final_spin.csv
13.12378094523631,100.69012841010398,137.98371048450946,37.29358207440548,0.12825428068334868,-0.8896195347133363,2,24,rank_top24_eta_gap_from_equal_mass,24,log_final_mass_source,final_spin,24,1.5931077560242892,4.9752887399350465,3.3821809839107573,7.064410833032259,outputs_gwtc4_wct_subsets\scans\scan_rank_top24_eta_gap_from_equal_mass_log_final_mass_source_final_spin.csv,"GW230529_181500,GW230518_125908,GW231223_075055,GW231020_142947,GW231118_090602,GW231118_005626,GW231114_043211,GW230624_113103,GW230712_090405,GW230911_195324,GW230811_032116,GW230702_185453,GW231129_081745,GW231008_142521,GW230928_215827,GW240107_013215,GW230820_212515,GW231004_232346,GW230819_171910,GW230814_061920,GW231001_140220,GW231005_021030,GW230704_212616,GW231028_153006",0.04590818363273453,22,500,45.61986233658416,98.41765890178765,130.10688691565844,outputs_gwtc4_wct_subsets\nulls\null_rank_top24_eta_gap_from_equal_mass_log_final_mass_source_final_spin.csv
66.79969992498125,89.94435922684606,119.80744974428148,29.863090517435428,0.12832747828509455,-2.277438297158361,2,22,low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343,22,log_total_mass_source,final_spin,22,1.624147267928085,5.030175167277875,3.40602789934979,36.21119392304073,outputs_gwtc4_wct_subsets\scans\scan_low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343_log_total_mass_source_final_spin.csv,"GW230529_181500,GW230518_125908,GW231223_075055,GW231118_090602,GW231118_005626,GW231114_043211,GW230624_113103,GW230712_090405,GW230911_195324,GW230811_032116,GW230702_185453,GW231129_081745,GW231008_142521,GW230928_215827,GW240107_013215,GW230820_212515,GW231004_232346,GW230819_171910,GW231001_140220,GW231005_021030,GW230704_212616,GW231028_153006",0.04590818363273453,22,500,39.9543692723214,87.14089978048365,121.36858373057731,outputs_gwtc4_wct_subsets\nulls\null_low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343_log_total_mass_source_final_spin.csv
0.5,9.587588993593162,18.121082808735956,8.533493815142794,1769.4940456692202,-2.0624403178545734,2,22,high_chirp_mass_chirp_mass_source_ge_q0.75_34.5278,22,log_chirp_mass_source,final_spin,22,3.543138739937693,4.629075119447099,1.085936379509406,0.08641607134111919,outputs_gwtc4_wct_subsets\scans\scan_high_chirp_mass_chirp_mass_source_ge_q0.75_34.5278_log_chirp_mass_source_final_spin.csv,"GW230928_215827,GW230707_124047,GW230630_125806,GW230806_204041,GW240107_013215,GW231230_170116,GW230824_033047,GW230820_212515,GW230914_111401,GW231004_232346,GW230819_171910,GW230708_230935,GW231102_071736,GW231029_111508,GW230601_224134,GW231001_140220,GW230814_061920,GW230922_040658,GW231005_021030,GW230704_212616,GW231028_153006,GW231123_135430",0.04590818363273453,22,500,4.962898892277084,9.466868578740872,11.63414625860119,outputs_gwtc4_wct_subsets\nulls\null_high_chirp_mass_chirp_mass_source_ge_q0.75_34.5278_log_chirp_mass_source_final_spin.csv
13.12378094523631,100.69012841010398,137.98371048450946,37.29358207440548,0.12825428068334868,-0.8896195347133363,2,24,rank_top24_asymmetry_1_minus_q,24,log_final_mass_source,final_spin,24,1.5931077560242892,4.9752887399350465,3.3821809839107573,7.064410833032259,outputs_gwtc4_wct_subsets\scans\scan_rank_top24_asymmetry_1_minus_q_log_final_mass_source_final_spin.csv,"GW230529_181500,GW230518_125908,GW231223_075055,GW231020_142947,GW231118_090602,GW231118_005626,GW231114_043211,GW230624_113103,GW230712_090405,GW230911_195324,GW230811_032116,GW230702_185453,GW231129_081745,GW231008_142521,GW230928_215827,GW240107_013215,GW230820_212515,GW231004_232346,GW230819_171910,GW230814_061920,GW231001_140220,GW231005_021030,GW230704_212616,GW231028_153006",0.04790419161676647,23,500,48.15422335775381,98.19413188870497,125.65267784974522,outputs_gwtc4_wct_subsets\nulls\null_rank_top24_asymmetry_1_minus_q_log_final_mass_source_final_spin.csv
67.3364591147787,93.0567530355057,123.20802076111086,30.151267725605166,0.14171486771619604,-1.3941084614861587,2,22,high_eta_gap_eta_gap_from_equal_mass_ge_q0.75_0.0156566,22,log_final_mass_source,final_spin,22,1.5931077560242892,4.9752887399350465,3.3821809839107573,36.2465979288647,outputs_gwtc4_wct_subsets\scans\scan_high_eta_gap_eta_gap_from_equal_mass_ge_q0.75_0.0156566_log_final_mass_source_final_spin.csv,"GW230529_181500,GW230518_125908,GW231223_075055,GW231118_090602,GW231118_005626,GW231114_043211,GW230624_113103,GW230712_090405,GW230911_195324,GW230811_032116,GW230702_185453,GW231129_081745,GW231008_142521,GW230928_215827,GW240107_013215,GW230820_212515,GW231004_232346,GW230819_171910,GW231001_140220,GW231005_021030,GW230704_212616,GW231028_153006",0.04790419161676647,23,500,42.79171914746646,90.85174762402306,133.09808308583396,outputs_gwtc4_wct_subsets\nulls\null_high_eta_gap_eta_gap_from_equal_mass_ge_q0.75_0.0156566_log_final_mass_source_final_spin.csv
66.79969992498125,89.94435922684606,119.80744974428148,29.863090517435428,0.12832747828509455,-2.277438297158361,2,22,asymmetric_high_1_minus_q_asymmetry_1_minus_q_ge_q0.75_0.400311,22,log_total_mass_source,final_spin,22,1.624147267928085,5.030175167277875,3.40602789934979,36.21119392304073,outputs_gwtc4_wct_subsets\scans\scan_asymmetric_high_1_minus_q_asymmetry_1_minus_q_ge_q0.75_0.400311_log_total_mass_source_final_spin.csv,"GW230529_181500,GW230518_125908,GW231223_075055,GW231118_090602,GW231118_005626,GW231114_043211,GW230624_113103,GW230712_090405,GW230911_195324,GW230811_032116,GW230702_185453,GW231129_081745,GW231008_142521,GW230928_215827,GW240107_013215,GW230820_212515,GW231004_232346,GW230819_171910,GW231001_140220,GW231005_021030,GW230704_212616,GW231028_153006",0.05189620758483034,25,500,39.625380644448526,89.77185292343397,117.37104949231657,outputs_gwtc4_wct_subsets\nulls\null_asymmetric_high_1_minus_q_asymmetry_1_minus_q_ge_q0.75_0.400311_log_total_mass_source_final_spin.csv
0.5,9.587588993593162,18.121082808735956,8.533493815142794,1769.4940456692202,-2.0624403178545734,2,22,high_final_mass_final_mass_source_ge_q0.75_78.4023,22,log_chirp_mass_source,final_spin,22,3.543138739937693,4.629075119447099,1.085936379509406,0.08641607134111919,outputs_gwtc4_wct_subsets\scans\scan_high_final_mass_final_mass_source_ge_q0.75_78.4023_log_chirp_mass_source_final_spin.csv,"GW230928_215827,GW230707_124047,GW230630_125806,GW230806_204041,GW240107_013215,GW231230_170116,GW230824_033047,GW230820_212515,GW230914_111401,GW231004_232346,GW230819_171910,GW230708_230935,GW231102_071736,GW231029_111508,GW230601_224134,GW231001_140220,GW230814_061920,GW230922_040658,GW231005_021030,GW230704_212616,GW231028_153006,GW231123_135430",0.05189620758483034,25,500,5.160703468865053,9.572286454614533,12.663156000697114,outputs_gwtc4_wct_subsets\nulls\null_high_final_mass_final_mass_source_ge_q0.75_78.4023_log_chirp_mass_source_final_spin.csv
77.81320330082521,7.845257153531152,16.654010172768114,8.808753019236962,0.06658815419252831,-2.15149726332777,2,22,distant_luminosity_distance_ge_q0.75_4054.52,22,log_final_mass_source,final_spin,22,4.02829190436646,4.9752887399350465,0.9469968355685863,11.727945888709465,outputs_gwtc4_wct_subsets\scans\scan_distant_luminosity_distance_ge_q0.75_4054.52_log_final_mass_source_final_spin.csv,"GW230930_110730,GW230825_041334,GW231118_071402,GW230831_015414,GW231127_165300,GW230709_122727,GW230803_033412,GW231221_135041,GW231119_075248,GW230707_124047,GW230928_215827,GW230806_204041,GW230630_125806,GW230824_033047,GW231230_170116,GW240107_013215,GW231004_232346,GW231001_140220,GW230922_040658,GW231005_021030,GW230704_212616,GW231028_153006",0.05189620758483034,25,500,4.337877442116698,7.807785520312568,9.77029494624126,outputs_gwtc4_wct_subsets\nulls\null_distant_luminosity_distance_ge_q0.75_4054.52_log_final_mass_source_final_spin.csv
66.79969992498125,89.94435922684606,119.80744974428148,29.863090517435428,0.12832747828509455,-2.277438297158361,2,22,asymmetric_low_q_mass_ratio_le_q0.25_0.599689,22,log_total_mass_source,final_spin,22,1.624147267928085,5.030175167277875,3.40602789934979,36.21119392304073,outputs_gwtc4_wct_subsets\scans\scan_asymmetric_low_q_mass_ratio_le_q0.25_0.599689_log_total_mass_source_final_spin.csv,"GW230529_181500,GW230518_125908,GW231223_075055,GW231118_090602,GW231118_005626,GW231114_043211,GW230624_113103,GW230712_090405,GW230911_195324,GW230811_032116,GW230702_185453,GW231129_081745,GW231008_142521,GW230928_215827,GW240107_013215,GW230820_212515,GW231004_232346,GW230819_171910,GW231001_140220,GW231005_021030,GW230704_212616,GW231028_153006",0.05389221556886228,26,500,39.58515437260637,92.5876342918927,126.23785147747974,outputs_gwtc4_wct_subsets\nulls\null_asymmetric_low_q_mass_ratio_le_q0.25_0.599689_log_total_mass_source_final_spin.csv
