stage,catalog_version,variable,subset,bin_count,k_best,n_star,DeltaD_star,local_p,global_p,null_n,verdict_label,notes
primary,cumulative,M_chirp,cumulative_pa0.5,20,32.69747899159664,23.12920231681261,80.41047539922894,3.460087833937002e-18,0.0039960039960039,1000,PASS,primary_scan;n_events=277
bin_stress,cumulative,M_chirp,cumulative_pa0.5,20,32.69747899159664,23.12920231681261,80.41047539922894,3.460087833937002e-18,0.0024937655860349,400,PARTIAL,bin_stress;n_events=277
bin_stress,cumulative,M_chirp,cumulative_pa0.5,30,4.483193277310924,3.1712745916267093,86.4644975255309,1.676767787265771e-19,0.0024937655860349,400,PARTIAL,bin_stress;n_events=277
bin_stress,cumulative,M_chirp,cumulative_pa0.5,40,4.483193277310924,3.1712745916267093,85.04914686844245,3.4026118662470664e-19,0.0024937655860349,400,PARTIAL,bin_stress;n_events=277
bin_stress,cumulative,M_chirp,cumulative_pa0.5,50,4.483193277310924,3.1712745916267093,85.54343679534531,2.6575333198913745e-19,0.0024937655860349,400,PARTIAL,bin_stress;n_events=277
variable_stress,cumulative,M_chirp,cumulative_pa0.5,20,32.69747899159664,23.12920231681261,80.41047539922894,3.460087833937002e-18,0.0024937655860349,400,PARTIAL,variable_stress;n_events=277
variable_stress,cumulative,M_total,cumulative_pa0.5,20,23.735294117647054,16.846273927903113,63.7223352480776,1.4550258661350412e-14,0.0049875311720698,400,PARTIAL,variable_stress;n_events=277
variable_stress,cumulative,D_L,cumulative_pa0.5,20,27.386554621848735,23.60718684086851,20.323170966720763,3.862597874618395e-05,0.0024937655860349,400,PARTIAL,variable_stress;n_events=277
variable_stress,cumulative,M_final,cumulative_pa0.5,20,24.399159663865547,16.98166364406223,69.13379229477366,9.722719278586151e-16,0.0024937655860349,400,PARTIAL,variable_stress;n_events=265
variable_stress,cumulative,redshift,cumulative_pa0.5,20,20.747899159663863,15.808923507868498,17.709813061799352,0.0001426799524267,0.0049875311720698,400,PARTIAL,variable_stress;n_events=277
variable_stress,cumulative,abs_chi_eff,cumulative_pa0.5,20,20.415966386554626,13.804643952806122,32.50493341995487,8.742656002732672e-08,0.0024937655860349,400,PARTIAL,variable_stress;bounded_non_scale_diagnostic_only;n_events=264
threshold_stress,cumulative,M_chirp,cumulative_pa0.5,20,32.69747899159664,23.12920231681261,80.41047539922894,3.460087833937002e-18,0.0024937655860349,400,PARTIAL,threshold_stress;n_events=277
threshold_stress,cumulative,M_chirp,cumulative_pa0.9,20,32.69747899159664,23.12920231681261,81.47867562611565,2.0282915968767723e-18,0.0049875311720698,400,PARTIAL,threshold_stress;n_events=247
threshold_stress,cumulative,M_chirp,cumulative_far1yr,20,32.69747899159664,23.12920231681261,82.56587003699181,1.177739184534568e-18,0.0024937655860349,400,PARTIAL,threshold_stress;n_events=255
threshold_stress,cumulative,M_chirp,cumulative_BBH_pa0.5,20,4.815126050420168,2.449904273847194,70.67234374505566,4.505007768052981e-16,0.0024937655860349,400,PARTIAL,threshold_stress;n_events=270
threshold_stress,O3a,M_chirp,O3a_pa0.5,20,36.01680672268908,22.734631903426106,26.44780333122754,1.806893174655676e-06,0.0024937655860349,400,PARTIAL,threshold_stress;n_events=123
threshold_stress,O3b,M_chirp,O3b_pa0.5,20,4.815126050420168,2.482397574678359,10.694742246831254,0.0047606497239968,0.0723192019950124,400,FAIL,threshold_stress;n_events=35
threshold_stress,O4a,M_chirp,O4a_pa0.5,20,36.34873949579832,22.86514464946695,36.13561809831834,1.4231485343519904e-08,0.0024937655860349,400,PARTIAL,threshold_stress;n_events=172
threshold_stress,O4b,M_chirp,O4b_pa0.5,20,5.147058823529411,1.828496132507633,26.18637825196709,2.0592079776054225e-06,0.0024937655860349,400,PARTIAL,threshold_stress;n_events=104
controls,cumulative,M_chirp,cumulative_pa0.5,20,17.428571428571427,11.271145813332724,4.606234506403222,0.0999467981364564,0.5386533665835411,400,FAIL,control=smooth_resample;real=0;n_events=277
controls,cumulative,M_chirp,cumulative_pa0.5,20,3.8193277310924367,2.6219784204369465,5.612611307994724,0.0604278218164183,0.3740648379052369,400,FAIL,control=smooth_resample;real=1;n_events=277
controls,cumulative,M_chirp,cumulative_pa0.5,20,10.457983193277313,7.056977337596994,3.951136278783112,0.138682498866058,0.6109725685785536,400,FAIL,control=smooth_resample;real=2;n_events=277
controls,cumulative,M_chirp,cumulative_pa0.5,20,37.67647058823529,26.5157688338577,6.974094900736695,0.0305910605874808,0.1870324189526184,400,FAIL,control=smooth_resample;real=3;n_events=277
controls,cumulative,M_chirp,cumulative_pa0.5,20,33.693277310924366,22.63778229348975,4.509617961274371,0.104893578527243,0.5511221945137157,400,FAIL,control=smooth_resample;real=4;n_events=277
controls,cumulative,M_chirp,cumulative_pa0.5,20,19.088235294117645,13.37656091567798,8.99427605586994,0.0111408357156908,0.1596009975062344,400,FAIL,control=uniform_ell;real=0;n_events=277
controls,cumulative,M_chirp,cumulative_pa0.5,20,17.096638655462183,12.001409672495518,5.777244222073936,0.0556528432435745,0.5486284289276808,400,FAIL,control=uniform_ell;real=1;n_events=277
controls,cumulative,M_chirp,cumulative_pa0.5,20,33.029411764705884,23.337318676615165,5.531984214380644,0.0629136512897394,0.5386533665835411,400,FAIL,control=uniform_ell;real=2;n_events=277
