catalog_version,variable,subset,bin_count,k_best,n_star,DeltaD_star,local_p,global_p,null_n,verdict_label,notes
cumulative,M_chirp,cumulative_pa0.5,20,32.69747899159664,23.129202316812606,80.41047539922894,3.460087833937002e-18,0.0024937655860349127,400,PARTIAL,bin_stress;n_events=277
cumulative,M_chirp,cumulative_pa0.5,30,4.483193277310924,3.1712745916267093,86.4644975255309,1.676767787265771e-19,0.0024937655860349127,400,PARTIAL,bin_stress;n_events=277
cumulative,M_chirp,cumulative_pa0.5,40,4.483193277310924,3.1712745916267093,85.04914686844245,3.4026118662470664e-19,0.0024937655860349127,400,PARTIAL,bin_stress;n_events=277
cumulative,M_chirp,cumulative_pa0.5,50,4.483193277310924,3.1712745916267093,85.54343679534531,2.6575333198913745e-19,0.0024937655860349127,400,PARTIAL,bin_stress;n_events=277
