replicate,T_null,T_obs,global_p
0,5.643517289416167,80.41047539922894,0.003996003996003996
1,3.040033424076257,80.41047539922894,0.003996003996003996
2,5.008288174415252,80.41047539922894,0.003996003996003996
3,8.88000024739934,80.41047539922894,0.003996003996003996
4,4.0093082674841725,80.41047539922894,0.003996003996003996
5,4.41867937680567,80.41047539922894,0.003996003996003996
6,3.605958310080581,80.41047539922894,0.003996003996003996
7,9.475546115257446,80.41047539922894,0.003996003996003996
8,4.179889607249749,80.41047539922894,0.003996003996003996
9,2.8016780002132666,80.41047539922894,0.003996003996003996
10,2.950636705115535,80.41047539922894,0.003996003996003996
11,2.2899011243359304,80.41047539922894,0.003996003996003996
12,3.342505043619809,80.41047539922894,0.003996003996003996
13,12.1956852833281,80.41047539922894,0.003996003996003996
14,2.9141970332002813,80.41047539922894,0.003996003996003996
15,4.53876297934972,80.41047539922894,0.003996003996003996
16,3.051900485071047,80.41047539922894,0.003996003996003996
17,3.4101722899958826,80.41047539922894,0.003996003996003996
18,7.724396664258824,80.41047539922894,0.003996003996003996
19,4.857235187327959,80.41047539922894,0.003996003996003996
20,6.018633061197331,80.41047539922894,0.003996003996003996
21,4.009615504304044,80.41047539922894,0.003996003996003996
22,8.434273612242475,80.41047539922894,0.003996003996003996
23,3.446903291078243,80.41047539922894,0.003996003996003996
24,3.994663647088796,80.41047539922894,0.003996003996003996
25,12.84489678999206,80.41047539922894,0.003996003996003996
26,11.785149412698706,80.41047539922894,0.003996003996003996
27,3.9571961666472646,80.41047539922894,0.003996003996003996
28,3.796178867304741,80.41047539922894,0.003996003996003996
29,3.941227030149558,80.41047539922894,0.003996003996003996
30,5.2099181155271435,80.41047539922894,0.003996003996003996
31,3.733519299428586,80.41047539922894,0.003996003996003996
32,5.247255393100112,80.41047539922894,0.003996003996003996
33,4.614636305260559,80.41047539922894,0.003996003996003996
34,5.862381466008193,80.41047539922894,0.003996003996003996
35,3.6228680481995035,80.41047539922894,0.003996003996003996
36,3.8003213917481258,80.41047539922894,0.003996003996003996
37,3.715829640059411,80.41047539922894,0.003996003996003996
38,1.5945472506004768,80.41047539922894,0.003996003996003996
39,6.575525557970169,80.41047539922894,0.003996003996003996
40,1.978565026162805,80.41047539922894,0.003996003996003996
41,3.9626329072208257,80.41047539922894,0.003996003996003996
42,4.445755111532019,80.41047539922894,0.003996003996003996
43,2.760841390231885,80.41047539922894,0.003996003996003996
44,4.26474919999696,80.41047539922894,0.003996003996003996
45,5.286190963856877,80.41047539922894,0.003996003996003996
46,3.235323182539041,80.41047539922894,0.003996003996003996
47,7.42720852463219,80.41047539922894,0.003996003996003996
48,5.896478359598683,80.41047539922894,0.003996003996003996
49,2.240235609269032,80.41047539922894,0.003996003996003996
50,1.7068976959235735,80.41047539922894,0.003996003996003996
51,8.326077423558475,80.41047539922894,0.003996003996003996
52,5.479099736637966,80.41047539922894,0.003996003996003996
53,6.2783509252704555,80.41047539922894,0.003996003996003996
54,2.36125331557267,80.41047539922894,0.003996003996003996
55,1.8927140059418903,80.41047539922894,0.003996003996003996
56,2.6584444711025093,80.41047539922894,0.003996003996003996
57,2.7484065500733443,80.41047539922894,0.003996003996003996
58,5.733348402282626,80.41047539922894,0.003996003996003996
59,3.659939927735607,80.41047539922894,0.003996003996003996
60,11.067608417404932,80.41047539922894,0.003996003996003996
61,7.30997778625073,80.41047539922894,0.003996003996003996
62,5.505760167359423,80.41047539922894,0.003996003996003996
63,4.041689420256327,80.41047539922894,0.003996003996003996
64,1.7535448126890003,80.41047539922894,0.003996003996003996
65,2.234610504518442,80.41047539922894,0.003996003996003996
66,2.346941490978306,80.41047539922894,0.003996003996003996
67,8.931851639835005,80.41047539922894,0.003996003996003996
68,5.0814201628941085,80.41047539922894,0.003996003996003996
69,10.01965314885217,80.41047539922894,0.003996003996003996
70,4.227079728912557,80.41047539922894,0.003996003996003996
71,5.2553647147994305,80.41047539922894,0.003996003996003996
72,4.324743154184004,80.41047539922894,0.003996003996003996
73,4.716508343557324,80.41047539922894,0.003996003996003996
74,4.369317640876581,80.41047539922894,0.003996003996003996
75,5.413527179145412,80.41047539922894,0.003996003996003996
76,6.688456949346644,80.41047539922894,0.003996003996003996
77,1.6033944862487317,80.41047539922894,0.003996003996003996
78,3.765428069386733,80.41047539922894,0.003996003996003996
79,7.401439005989566,80.41047539922894,0.003996003996003996
80,4.959180212756998,80.41047539922894,0.003996003996003996
81,1.9161968043017108,80.41047539922894,0.003996003996003996
82,6.377552961435304,80.41047539922894,0.003996003996003996
83,1.9707922688941029,80.41047539922894,0.003996003996003996
84,5.994977032656832,80.41047539922894,0.003996003996003996
85,2.3218494327934547,80.41047539922894,0.003996003996003996
86,6.305780334942426,80.41047539922894,0.003996003996003996
87,4.714661832625154,80.41047539922894,0.003996003996003996
88,9.261109096643931,80.41047539922894,0.003996003996003996
89,3.504461689684799,80.41047539922894,0.003996003996003996
90,4.078547144714042,80.41047539922894,0.003996003996003996
91,3.740251130313963,80.41047539922894,0.003996003996003996
92,1.367393229238905,80.41047539922894,0.003996003996003996
93,6.990479087944941,80.41047539922894,0.003996003996003996
94,10.240652968733315,80.41047539922894,0.003996003996003996
95,4.4129805284298556,80.41047539922894,0.003996003996003996
96,4.787889304314147,80.41047539922894,0.003996003996003996
97,3.9769101524845443,80.41047539922894,0.003996003996003996
98,1.6483862028727287,80.41047539922894,0.003996003996003996
99,2.0032505820341235,80.41047539922894,0.003996003996003996
100,5.7095288566082765,80.41047539922894,0.003996003996003996
101,1.6182459884034905,80.41047539922894,0.003996003996003996
102,3.3992567071195303,80.41047539922894,0.003996003996003996
103,2.2443863493618714,80.41047539922894,0.003996003996003996
104,7.763651030679238,80.41047539922894,0.003996003996003996
105,4.756352027400759,80.41047539922894,0.003996003996003996
106,2.015108169306014,80.41047539922894,0.003996003996003996
107,3.9280465700267246,80.41047539922894,0.003996003996003996
108,7.972372256097511,80.41047539922894,0.003996003996003996
109,3.6620879920901057,80.41047539922894,0.003996003996003996
110,8.982525062042336,80.41047539922894,0.003996003996003996
111,3.0494997026454147,80.41047539922894,0.003996003996003996
112,6.278336544477934,80.41047539922894,0.003996003996003996
113,8.374220187078611,80.41047539922894,0.003996003996003996
114,2.2544615960388743,80.41047539922894,0.003996003996003996
115,5.085356817395562,80.41047539922894,0.003996003996003996
116,7.633927374899379,80.41047539922894,0.003996003996003996
117,5.338475257245916,80.41047539922894,0.003996003996003996
118,1.9184861900957166,80.41047539922894,0.003996003996003996
119,7.413598306445206,80.41047539922894,0.003996003996003996
120,4.297887072325953,80.41047539922894,0.003996003996003996
121,4.71782444332597,80.41047539922894,0.003996003996003996
122,2.4892546327286293,80.41047539922894,0.003996003996003996
123,8.59654548514689,80.41047539922894,0.003996003996003996
124,12.111916281564078,80.41047539922894,0.003996003996003996
125,8.866872679501117,80.41047539922894,0.003996003996003996
126,2.4677026313739816,80.41047539922894,0.003996003996003996
127,9.42288806097323,80.41047539922894,0.003996003996003996
128,5.291586581083971,80.41047539922894,0.003996003996003996
129,11.760839608342728,80.41047539922894,0.003996003996003996
130,6.61761067194082,80.41047539922894,0.003996003996003996
131,2.721208748195613,80.41047539922894,0.003996003996003996
132,2.776056756735424,80.41047539922894,0.003996003996003996
133,3.800272718366161,80.41047539922894,0.003996003996003996
134,12.521284762111577,80.41047539922894,0.003996003996003996
135,3.9903364219859085,80.41047539922894,0.003996003996003996
136,3.114475478667254,80.41047539922894,0.003996003996003996
137,4.6475431547495205,80.41047539922894,0.003996003996003996
138,1.0502385985153326,80.41047539922894,0.003996003996003996
139,2.1536057421874464,80.41047539922894,0.003996003996003996
140,2.8318621291890658,80.41047539922894,0.003996003996003996
141,5.514164635748257,80.41047539922894,0.003996003996003996
142,2.834601678548701,80.41047539922894,0.003996003996003996
143,5.7715017182773,80.41047539922894,0.003996003996003996
144,2.9053194461428635,80.41047539922894,0.003996003996003996
145,4.2014466559162855,80.41047539922894,0.003996003996003996
146,7.031632909648113,80.41047539922894,0.003996003996003996
147,9.781604566287701,80.41047539922894,0.003996003996003996
148,2.0911850868890483,80.41047539922894,0.003996003996003996
149,10.409819123236007,80.41047539922894,0.003996003996003996
150,2.2620426319114575,80.41047539922894,0.003996003996003996
151,3.1779684585888006,80.41047539922894,0.003996003996003996
152,7.707849700521347,80.41047539922894,0.003996003996003996
153,6.602978144708732,80.41047539922894,0.003996003996003996
154,4.6271456106798095,80.41047539922894,0.003996003996003996
155,7.0363752201784475,80.41047539922894,0.003996003996003996
156,9.78217995300126,80.41047539922894,0.003996003996003996
157,3.44144055779614,80.41047539922894,0.003996003996003996
158,2.3276772189316866,80.41047539922894,0.003996003996003996
159,2.8734908497370553,80.41047539922894,0.003996003996003996
160,15.92594636999543,80.41047539922894,0.003996003996003996
161,4.38924222130688,80.41047539922894,0.003996003996003996
162,4.410678921555512,80.41047539922894,0.003996003996003996
163,7.635170008137578,80.41047539922894,0.003996003996003996
164,10.786503280970852,80.41047539922894,0.003996003996003996
165,5.246850546825762,80.41047539922894,0.003996003996003996
166,2.4098848725102755,80.41047539922894,0.003996003996003996
167,4.433912907314095,80.41047539922894,0.003996003996003996
168,6.935694217345777,80.41047539922894,0.003996003996003996
169,7.1572210178601665,80.41047539922894,0.003996003996003996
170,2.6838082250256727,80.41047539922894,0.003996003996003996
171,5.142221237252187,80.41047539922894,0.003996003996003996
172,7.519547562178935,80.41047539922894,0.003996003996003996
173,3.805109935138077,80.41047539922894,0.003996003996003996
174,6.356199161658999,80.41047539922894,0.003996003996003996
175,1.7829757828602322,80.41047539922894,0.003996003996003996
176,5.12981438342927,80.41047539922894,0.003996003996003996
177,9.448168746472925,80.41047539922894,0.003996003996003996
178,5.516007276027594,80.41047539922894,0.003996003996003996
179,8.06641161190856,80.41047539922894,0.003996003996003996
180,3.225843960286767,80.41047539922894,0.003996003996003996
181,10.733147200894757,80.41047539922894,0.003996003996003996
182,3.5348960533082456,80.41047539922894,0.003996003996003996
183,4.01144268187216,80.41047539922894,0.003996003996003996
184,6.210842809596311,80.41047539922894,0.003996003996003996
185,5.875349814489221,80.41047539922894,0.003996003996003996
186,5.960978937561894,80.41047539922894,0.003996003996003996
187,5.993856299321502,80.41047539922894,0.003996003996003996
188,3.5576834451817945,80.41047539922894,0.003996003996003996
189,3.701400388621863,80.41047539922894,0.003996003996003996
190,10.264289979499678,80.41047539922894,0.003996003996003996
191,5.734742582811853,80.41047539922894,0.003996003996003996
192,3.7754761244863353,80.41047539922894,0.003996003996003996
193,6.705003137692229,80.41047539922894,0.003996003996003996
194,3.1019783005783914,80.41047539922894,0.003996003996003996
195,12.75092153476809,80.41047539922894,0.003996003996003996
196,8.241675951144323,80.41047539922894,0.003996003996003996
197,5.71466658105853,80.41047539922894,0.003996003996003996
198,5.437423257073512,80.41047539922894,0.003996003996003996
199,2.1805502373196886,80.41047539922894,0.003996003996003996
200,2.8357082814000005,80.41047539922894,0.003996003996003996
201,4.720457601392383,80.41047539922894,0.003996003996003996
202,8.335058602735632,80.41047539922894,0.003996003996003996
203,9.921431533920064,80.41047539922894,0.003996003996003996
204,3.7324784774052873,80.41047539922894,0.003996003996003996
205,5.270932475808879,80.41047539922894,0.003996003996003996
206,3.2775619809676684,80.41047539922894,0.003996003996003996
207,9.943390037953648,80.41047539922894,0.003996003996003996
208,10.01561117240886,80.41047539922894,0.003996003996003996
209,4.736427719719266,80.41047539922894,0.003996003996003996
210,6.37546146117581,80.41047539922894,0.003996003996003996
211,2.0900727980897322,80.41047539922894,0.003996003996003996
212,4.696517314553903,80.41047539922894,0.003996003996003996
213,6.107458256123268,80.41047539922894,0.003996003996003996
214,6.812421658670779,80.41047539922894,0.003996003996003996
215,3.697260303844132,80.41047539922894,0.003996003996003996
216,2.03029062889566,80.41047539922894,0.003996003996003996
217,6.1958760754076,80.41047539922894,0.003996003996003996
218,4.761024009261105,80.41047539922894,0.003996003996003996
219,8.202890886490351,80.41047539922894,0.003996003996003996
220,10.898888122661294,80.41047539922894,0.003996003996003996
221,12.659145465350079,80.41047539922894,0.003996003996003996
222,6.511022686289619,80.41047539922894,0.003996003996003996
223,6.336111374476003,80.41047539922894,0.003996003996003996
224,5.054756157719407,80.41047539922894,0.003996003996003996
225,7.999612106042308,80.41047539922894,0.003996003996003996
226,8.89050051478203,80.41047539922894,0.003996003996003996
227,5.652610542207469,80.41047539922894,0.003996003996003996
228,2.36786589945247,80.41047539922894,0.003996003996003996
229,2.053120633469794,80.41047539922894,0.003996003996003996
230,2.986555551633554,80.41047539922894,0.003996003996003996
231,6.096908086313952,80.41047539922894,0.003996003996003996
232,3.5360582562245995,80.41047539922894,0.003996003996003996
233,3.014276129893819,80.41047539922894,0.003996003996003996
234,4.759736192840775,80.41047539922894,0.003996003996003996
235,4.175355153798837,80.41047539922894,0.003996003996003996
236,4.81018336581414,80.41047539922894,0.003996003996003996
237,3.71118377608126,80.41047539922894,0.003996003996003996
238,0.8586818827377911,80.41047539922894,0.003996003996003996
239,2.075512627804663,80.41047539922894,0.003996003996003996
240,11.583155585210818,80.41047539922894,0.003996003996003996
241,5.06963679287149,80.41047539922894,0.003996003996003996
242,7.8432995635800395,80.41047539922894,0.003996003996003996
243,6.413893390416865,80.41047539922894,0.003996003996003996
244,6.109068950421788,80.41047539922894,0.003996003996003996
245,3.798807153578762,80.41047539922894,0.003996003996003996
246,8.994188685023097,80.41047539922894,0.003996003996003996
247,7.894050983332468,80.41047539922894,0.003996003996003996
248,5.150777346399352,80.41047539922894,0.003996003996003996
249,6.155270624775387,80.41047539922894,0.003996003996003996
250,11.237956290889535,80.41047539922894,0.003996003996003996
251,4.55805710387801,80.41047539922894,0.003996003996003996
252,3.399687499652021,80.41047539922894,0.003996003996003996
253,4.482584001344691,80.41047539922894,0.003996003996003996
254,3.6690989903128077,80.41047539922894,0.003996003996003996
255,3.5799164424570744,80.41047539922894,0.003996003996003996
256,2.628981218250882,80.41047539922894,0.003996003996003996
257,2.769013866152342,80.41047539922894,0.003996003996003996
258,10.259139507485727,80.41047539922894,0.003996003996003996
259,7.431694298334833,80.41047539922894,0.003996003996003996
260,2.5898892738056034,80.41047539922894,0.003996003996003996
261,2.5556272877154154,80.41047539922894,0.003996003996003996
262,8.143185024661761,80.41047539922894,0.003996003996003996
263,5.312956006229866,80.41047539922894,0.003996003996003996
264,3.1487702151292254,80.41047539922894,0.003996003996003996
265,10.328035101048865,80.41047539922894,0.003996003996003996
266,5.9977295429057165,80.41047539922894,0.003996003996003996
267,11.912403003966203,80.41047539922894,0.003996003996003996
268,5.406760253176132,80.41047539922894,0.003996003996003996
269,3.2621854336693,80.41047539922894,0.003996003996003996
270,1.6795803313451625,80.41047539922894,0.003996003996003996
271,3.3534836213545596,80.41047539922894,0.003996003996003996
272,3.5598847687232276,80.41047539922894,0.003996003996003996
273,5.988561390754203,80.41047539922894,0.003996003996003996
274,4.9675363634883265,80.41047539922894,0.003996003996003996
275,3.9581869444325903,80.41047539922894,0.003996003996003996
276,4.856984067821065,80.41047539922894,0.003996003996003996
277,5.303970681802053,80.41047539922894,0.003996003996003996
278,1.9300442637172024,80.41047539922894,0.003996003996003996
279,4.888033630371876,80.41047539922894,0.003996003996003996
280,1.9532765951370354,80.41047539922894,0.003996003996003996
281,3.463614730025272,80.41047539922894,0.003996003996003996
282,5.149386181099418,80.41047539922894,0.003996003996003996
283,9.308379946048559,80.41047539922894,0.003996003996003996
284,3.0791284598810567,80.41047539922894,0.003996003996003996
285,3.012819256753165,80.41047539922894,0.003996003996003996
286,7.345812730168538,80.41047539922894,0.003996003996003996
287,8.645027213997174,80.41047539922894,0.003996003996003996
288,2.80993505573578,80.41047539922894,0.003996003996003996
289,4.801700650488286,80.41047539922894,0.003996003996003996
290,2.7815569809122653,80.41047539922894,0.003996003996003996
291,6.509204306941246,80.41047539922894,0.003996003996003996
292,5.578209397024164,80.41047539922894,0.003996003996003996
293,3.599786591884259,80.41047539922894,0.003996003996003996
294,7.21698448747601,80.41047539922894,0.003996003996003996
295,4.721793408106002,80.41047539922894,0.003996003996003996
296,4.881497698988262,80.41047539922894,0.003996003996003996
297,4.646110937649011,80.41047539922894,0.003996003996003996
298,4.752684835809383,80.41047539922894,0.003996003996003996
299,4.823361081372374,80.41047539922894,0.003996003996003996
300,5.657454324352665,80.41047539922894,0.003996003996003996
301,3.024120477246788,80.41047539922894,0.003996003996003996
302,5.235017713866805,80.41047539922894,0.003996003996003996
303,3.7293503056613666,80.41047539922894,0.003996003996003996
