event_key,commonName,catalog_version,GPS,observing_run,source_class,M_chirp,M_total,mass_1_source,mass_2_source,M_final,D_L,redshift,chi_eff,p_astro,far,M_chirp_lower,M_chirp_upper,M_total_lower,M_total_upper,D_L_lower,D_L_upper,is_primary_entry
GW230920_064709-v2,GW230920_064709,GWTC-4.1,1379227647.3,O4a,unknown,,,,,,,,,0.79,3.2,,,,,,,True
GW230919_215712-v1,GW230919_215712,GWTC-4.0,1379195850.0,O4a,BBH,21.0,49.1,27.3,21.4,46.5,1330.0,0.25,0.18,0.99,1e-05,-2.0,1.9,-4.5,4.2,-510.0,790.0,False
GW230919_215712-v2,GW230919_215712,GWTC-4.1,1379195850.0,O4a,BBH,21.0,49.1,27.3,21.4,46.5,1330.0,0.25,0.18,0.99,1e-05,-2.0,1.9,-4.5,4.2,-510.0,790.0,True
GW230914_111401-v1,GW230914_111401,GWTC-4.0,1378725259.7,O4a,BBH,39.8,96.0,60.0,37.0,91.2,2700.0,0.47,0.12,0.99,1e-05,-6.2,7.6,-10.0,15.0,-1200.0,1600.0,False
GW230914_111401-v2,GW230914_111401,GWTC-4.1,1378725259.7,O4a,BBH,39.8,96.0,60.0,37.0,91.2,2700.0,0.47,0.12,0.99,1e-05,-6.2,7.6,-10.0,15.0,-1200.0,1600.0,True
GW230911_195324-v1,GW230911_195324,GWTC-4.0,1378497222.2,O4a,BBH,23.2,55.5,33.9,21.6,53.1,1350.0,0.26,-0.02,0.99,0.001,-3.0,3.4,-7.1,8.0,-710.0,1170.0,False
GW230911_195324-v2,GW230911_195324,GWTC-4.1,1378497222.2,O4a,BBH,23.2,55.5,33.9,21.6,53.1,1350.0,0.26,-0.02,0.99,0.001,-3.0,3.4,-7.1,8.0,-710.0,1170.0,True
GW230904_152545-v1,GW230904_152545,GWTC-4.0,1377876363.2,O4a,unknown,,,,,,,,,0.74,18.0,,,,,,,False
GW230904_152545-v2,GW230904_152545,GWTC-4.1,1377876363.2,O4a,unknown,,,,,,,,,0.75,4.4,,,,,,,True
GW230904_051013-v1,GW230904_051013,GWTC-4.0,1377839431.1,O4a,BBH,7.53,17.9,10.6,7.1,17.1,1030.0,0.2,0.05,0.99,3.9e-05,-0.59,0.54,-1.6,2.4,-440.0,590.0,False
GW230904_051013-v2,GW230904_051013,GWTC-4.1,1377839431.1,O4a,BBH,7.53,17.9,10.6,7.1,17.1,1030.0,0.2,0.05,0.99,3.7e-05,-0.59,0.54,-1.6,2.4,-440.0,590.0,True
GW230902_224555-v1,GW230902_224555,GWTC-4.0,1377729973.7,O4a,unknown,,,,,,,,,0.52,51.0,,,,,,,False
GW230902_224555-v2,GW230902_224555,GWTC-4.1,1377729973.7,O4a,unknown,,,,,,,,,0.51,14.0,,,,,,,True
GW230902_172430-v1,GW230902_172430,GWTC-4.0,1377710688.8,O4a,unknown,,,,,,,,,0.59,39.0,,,,,,,False
GW230902_172430-v2,GW230902_172430,GWTC-4.1,1377710688.8,O4a,unknown,,,,,,,,,0.6,10.0,,,,,,,True
GW230902_150325-v1,GW230902_150325,GWTC-4.1,1377702223.2,O4a,unknown,,,,,,,,,0.65,7.400000000000001,,,,,,,True
GW230902_122814-v1,GW230902_122814,GWTC-4.0,1377692912.9,O4a,unknown,,,,,,,,,0.84,2.0,,,,,,,False
GW230902_122814-v2,GW230902_122814,GWTC-4.1,1377692912.9,O4a,unknown,,,,,,,,,0.84,2.0,,,,,,,True
GW230831_134621-v1,GW230831_134621,GWTC-4.0,1377524799.7,O4a,unknown,,,,,,,,,0.8,12.0,,,,,,,False
GW230831_134621-v2,GW230831_134621,GWTC-4.1,1377524799.7,O4a,unknown,,,,,,,,,0.8,2.8,,,,,,,True
GW230831_015414-v1,GW230831_015414,GWTC-4.0,1377482072.1,O4a,BBH,30.7,73.0,42.0,30.0,69.0,4900.0,0.77,0.04,0.99,0.29,-6.5,10.5,-15.0,25.0,-2900.0,4200.0,False
GW230831_015414-v2,GW230831_015414,GWTC-4.1,1377482072.1,O4a,BBH,30.7,73.0,42.0,30.0,69.0,4900.0,0.77,0.04,0.99,0.036,-6.5,10.5,-15.0,25.0,-2900.0,4200.0,True
GW230830_064744-v1,GW230830_064744,GWTC-4.0,1377413282.2,O4a,unknown,,,,,,,,,0.55,3.5,,,,,,,False
GW230830_064744-v2,GW230830_064744,GWTC-4.1,1377413282.2,O4a,unknown,,,,,,,,,0.8,3.2,,,,,,,True
GW230825_041334-v1,GW230825_041334,GWTC-4.0,1376972032.5,O4a,BBH,29.5,71.0,44.0,27.2,67.0,4900.0,0.76,0.29,0.98,0.1,-6.3,9.4,-16.0,22.0,-2900.0,4200.0,False
GW230825_041334-v2,GW230825_041334,GWTC-4.1,1376972032.5,O4a,BBH,29.5,71.0,44.0,27.2,67.0,4900.0,0.76,0.29,0.99,0.093,-6.3,9.4,-16.0,22.0,-2900.0,4200.0,True
GW230824_135331-v1,GW230824_135331,GWTC-4.0,1376920429.9,O4a,unknown,,,,,,,,,0.58,6.2,,,,,,,False
GW230824_135331-v2,GW230824_135331,GWTC-4.1,1376920429.9,O4a,unknown,,,,,,,,,0.58,6.2,,,,,,,True
GW230824_033047-v1,GW230824_033047,GWTC-4.0,1376883065.7,O4a,BBH,36.9,88.0,53.0,36.0,84.0,4700.0,0.74,-0.01,0.99,1e-05,-6.3,9.3,-13.0,20.0,-2300.0,2900.0,False
GW230824_033047-v2,GW230824_033047,GWTC-4.1,1376883065.7,O4a,BBH,36.9,88.0,53.0,36.0,84.0,4700.0,0.74,-0.01,0.99,1e-05,-6.3,9.3,-13.0,20.0,-2300.0,2900.0,True
GW230823_142524-v1,GW230823_142524,GWTC-4.0,1376835942.6,O4a,unknown,,,,,,,,,0.86,1.6,,,,,,,False
GW230823_142524-v2,GW230823_142524,GWTC-4.1,1376835942.6,O4a,unknown,,,,,,,,,0.86,1.6,,,,,,,True
GW230822_230337-v1,GW230822_230337,GWTC-4.0,1376780635.5,O4a,unknown,,,,,,,,,0.86,1.5,,,,,,,False
GW230822_230337-v2,GW230822_230337,GWTC-4.1,1376780635.5,O4a,unknown,,,,,,,,,0.89,1.4,,,,,,,True
GW230820_212515-v1,GW230820_212515,GWTC-4.0,1376601934.0,O4a,BBH,38.5,96.0,62.0,34.0,92.0,4000.0,0.65,0.21,0.97,0.24,-9.6,11.1,-17.0,22.0,-2100.0,3000.0,False
GW230820_212515-v2,GW230820_212515,GWTC-4.1,1376601934.0,O4a,BBH,38.5,96.0,62.0,34.0,92.0,4000.0,0.65,0.21,0.98,0.24,-9.6,11.1,-17.0,22.0,-2100.0,3000.0,True
GW230819_171910-v1,GW230819_171910,GWTC-4.0,1376500768.4,O4a,BBH,42.0,106.0,70.0,35.0,102.0,4100.0,0.66,-0.04,0.99,0.011,-11.0,14.0,-22.0,38.0,-2200.0,3800.0,False
GW230819_171910-v2,GW230819_171910,GWTC-4.1,1376500768.4,O4a,BBH,42.0,106.0,70.0,35.0,102.0,4100.0,0.66,-0.04,0.99,0.011,-11.0,14.0,-22.0,38.0,-2200.0,3800.0,True
GW230817_212349-v1,GW230817_212349,GWTC-4.0,1376342647.1,O4a,unknown,,,,,,,,,0.86,6.2,,,,,,,False
GW230817_212349-v2,GW230817_212349,GWTC-4.1,1376342647.1,O4a,unknown,,,,,,,,,0.86,2.0,,,,,,,True
GW230814_230901-v1,GW230814_230901,GWTC-4.0,1376089759.8,O4a,BBH,26.78,61.9,33.7,28.2,59.0,290.0,0.06,-0.01,0.99,1e-05,-1.03,0.88,-2.0,2.0,-130.0,180.0,False
GW230814_230901-v2,GW230814_230901,O4_Discovery_Papers,1376089759.8,O4a,BBH,26.8,61.9,33.7,28.2,,289.0,0.06,-0.01,,1e-05,-1.0,0.9,-2.0,2.0,-130.0,183.0,False
GW230814_230901-v3,GW230814_230901,GWTC-4.1,1376089759.8,O4a,BBH,26.78,61.9,33.7,28.2,59.0,290.0,0.06,-0.01,0.99,1e-05,-1.03,0.88,-2.0,2.0,-130.0,180.0,True
GW230814_061920-v1,GW230814_061920,GWTC-4.0,1376029178.5,O4a,BBH,46.0,111.0,69.0,42.0,106.0,4000.0,0.64,0.07,0.99,0.00063,-10.0,12.0,-21.0,26.0,-2000.0,3500.0,False
GW230814_061920-v2,GW230814_061920,GWTC-4.1,1376029178.5,O4a,BBH,46.0,111.0,69.0,42.0,106.0,4000.0,0.64,0.07,0.99,0.00059,-10.0,12.0,-21.0,26.0,-2000.0,3500.0,True
GW230811_032116-v1,GW230811_032116,GWTC-4.0,1375759294.3,O4a,BBH,24.1,57.9,35.4,22.3,55.3,2100.0,0.38,0.03,0.99,1e-05,-2.5,4.1,-6.7,8.9,-1100.0,1200.0,False
GW230811_032116-v2,GW230811_032116,GWTC-4.1,1375759294.3,O4a,BBH,24.1,57.9,35.4,22.3,55.3,2100.0,0.38,0.03,0.99,1e-05,-2.5,4.1,-6.7,8.9,-1100.0,1200.0,True
GW230807_205045-v1,GW230807_205045,GWTC-4.0,1375476663.4,O4a,unknown,,,,,,,,,0.59,2.9,,,,,,,False
GW230807_205045-v2,GW230807_205045,GWTC-4.1,1375476663.4,O4a,unknown,,,,,,,,,0.82,2.9,,,,,,,True
GW230806_204041-v1,GW230806_204041,GWTC-4.0,1375389659.9,O4a,BBH,35.9,86.0,51.0,35.0,82.0,5500.0,0.84,0.08,0.99,0.0037,-7.0,10.7,-16.0,24.0,-2900.0,3700.0,False
GW230806_204041-v2,GW230806_204041,GWTC-4.1,1375389659.9,O4a,BBH,35.9,86.0,51.0,35.0,82.0,5500.0,0.84,0.08,0.99,0.0035,-7.0,10.7,-16.0,24.0,-2900.0,3700.0,True
GW230805_034249-v1,GW230805_034249,GWTC-4.0,1375242188.0,O4a,BBH,23.1,54.9,32.2,22.6,52.4,3500.0,0.58,0.06,0.99,0.0037,-4.2,5.9,-9.7,13.9,-1700.0,2500.0,False
GW230805_034249-v2,GW230805_034249,GWTC-4.1,1375242188.0,O4a,BBH,23.1,54.9,32.2,22.6,52.4,3500.0,0.58,0.06,0.99,0.00029,-4.2,5.9,-9.7,13.9,-1700.0,2500.0,True
GW230803_033412-v1,GW230803_033412,GWTC-4.0,1375068870.4,O4a,BBH,30.5,73.0,44.0,29.0,70.0,5000.0,0.78,0.07,0.99,0.31,-6.7,9.2,-16.0,22.0,-2600.0,4000.0,False
GW230803_033412-v2,GW230803_033412,GWTC-4.1,1375068870.4,O4a,BBH,30.5,73.0,44.0,29.0,70.0,5000.0,0.78,0.07,0.99,0.044,-6.7,9.2,-16.0,22.0,-2600.0,4000.0,True
GW230731_215307-v1,GW230731_215307,GWTC-4.0,1374875605.9,O4a,BBH,7.78,18.3,10.3,7.9,17.4,1100.0,0.22,-0.05,0.99,1e-05,-0.37,0.58,-1.0,1.6,-460.0,350.0,False
GW230731_215307-v2,GW230731_215307,GWTC-4.1,1374875605.9,O4a,BBH,7.78,18.3,10.3,7.9,17.4,1100.0,0.22,-0.05,0.99,1e-05,-0.37,0.58,-1.0,1.6,-460.0,350.0,True
GW230729_082317-v1,GW230729_082317,GWTC-4.0,1374654215.2,O4a,BBH,8.34,20.3,12.3,7.6,19.3,1640.0,0.31,0.12,0.95,0.18,-0.76,0.94,-2.4,4.9,-770.0,820.0,False
GW230729_082317-v2,GW230729_082317,GWTC-4.1,1374654215.2,O4a,BBH,8.34,20.3,12.3,7.6,19.3,1640.0,0.31,0.12,0.98,0.17,-0.76,0.94,-2.4,4.9,-770.0,820.0,True
GW230728_083628-v1,GW230728_083628,GWTC-4.0,1374568606.9,O4a,unknown,,,,,,,,,0.73,1.5,,,,,,,False
GW230728_083628-v2,GW230728_083628,GWTC-4.1,1374568606.9,O4a,unknown,,,,,,,,,0.89,1.4,,,,,,,True
GW230726_002940-v1,GW230726_002940,GWTC-4.0,1374366598.1,O4a,BBH,27.2,63.6,35.6,27.9,60.6,2100.0,0.37,-0.02,0.99,1e-05,-3.4,4.4,-7.9,10.3,-1000.0,1300.0,False
GW230726_002940-v2,GW230726_002940,GWTC-4.1,1374366598.1,O4a,BBH,27.2,63.6,35.6,27.9,60.6,2100.0,0.37,-0.02,0.99,1e-05,-3.4,4.4,-7.9,10.3,-1000.0,1300.0,True
GW230723_101834-v1,GW230723_101834,GWTC-4.0,1374142732.4,O4a,BBH,11.4,27.5,16.6,10.6,26.4,1610.0,0.3,-0.18,0.99,0.0034,-0.91,1.59,-2.6,3.9,-930.0,680.0,False
GW230723_101834-v2,GW230723_101834,GWTC-4.1,1374142732.4,O4a,BBH,11.4,27.5,16.6,10.6,26.4,1610.0,0.3,-0.18,0.99,0.00022,-0.91,1.59,-2.6,3.9,-930.0,680.0,True
GW230723_084820-v1,GW230723_084820,GWTC-4.0,1374137318.4,O4a,unknown,,,,,,,,,0.64,3.8999999999999995,,,,,,,False
GW230723_084820-v2,GW230723_084820,GWTC-4.1,1374137318.4,O4a,unknown,,,,,,,,,0.64,3.8999999999999995,,,,,,,True
GW230721_222634-v1,GW230721_222634,GWTC-4.0,1374013612.8,O4a,unknown,,,,,,,,,0.73,4.1,,,,,,,False
GW230721_222634-v2,GW230721_222634,GWTC-4.1,1374013612.8,O4a,unknown,,,,,,,,,0.73,4.1,,,,,,,True
GW230717_102139-v1,GW230717_102139,GWTC-4.0,1373624517.1,O4a,unknown,,,,,,,,,0.7,29.0,,,,,,,False
GW230717_102139-v2,GW230717_102139,GWTC-4.1,1373624517.1,O4a,unknown,,,,,,,,,0.67,6.8,,,,,,,True
GW230712_090405-v1,GW230712_090405,GWTC-4.0,1373187863.9,O4a,BBH,16.2,46.0,32.0,12.5,44.0,2000.0,0.37,-0.02,0.99,0.018,-2.9,11.5,-10.0,22.0,-1000.0,2400.0,False
GW230712_090405-v2,GW230712_090405,GWTC-4.1,1373187863.9,O4a,BBH,16.2,46.0,32.0,12.5,44.0,2000.0,0.37,-0.02,0.99,0.018,-2.9,11.5,-10.0,22.0,-1000.0,2400.0,True
GW230709_122727-v1,GW230709_122727,GWTC-4.0,1372940865.2,O4a,BBH,30.9,74.0,45.0,30.0,71.0,4700.0,0.74,0.08,0.99,0.011,-6.8,9.3,-14.0,20.0,-2500.0,3500.0,False
GW230709_122727-v2,GW230709_122727,GWTC-4.1,1372940865.2,O4a,BBH,30.9,74.0,45.0,30.0,71.0,4700.0,0.74,0.08,0.99,0.0009700000000000002,-6.8,9.3,-14.0,20.0,-2500.0,3500.0,True
GW230709_063445-v1,GW230709_063445,GWTC-4.0,1372919703.1,O4a,unknown,,,,,,,,,0.83,15.0,,,,,,,False
GW230709_063445-v2,GW230709_063445,GWTC-4.1,1372919703.1,O4a,unknown,,,,,,,,,0.8,3.3,,,,,,,True
GW230708_230935-v1,GW230708_230935,GWTC-4.0,1372892993.5,O4a,BBH,42.6,103.0,64.0,40.0,99.0,3500.0,0.59,0.01,0.99,0.0037,-7.7,9.7,-15.0,22.0,-1600.0,2300.0,False
GW230708_230935-v2,GW230708_230935,GWTC-4.1,1372892993.5,O4a,BBH,42.6,103.0,64.0,40.0,99.0,3500.0,0.59,0.01,0.99,0.001,-7.7,9.7,-15.0,22.0,-1600.0,2300.0,True
GW230708_071859-v1,GW230708_071859,GWTC-4.0,1372835957.4,O4a,unknown,,,,,,,,,0.73,1.5,,,,,,,False
GW230708_071859-v2,GW230708_071859,GWTC-4.1,1372835957.4,O4a,unknown,,,,,,,,,0.89,1.4,,,,,,,True
GW230708_053705-v1,GW230708_053705,GWTC-4.0,1372829843.1,O4a,BBH,22.2,51.9,29.1,22.7,49.4,3300.0,0.55,0.06,0.99,0.21999999999999997,-3.3,4.4,-7.7,10.2,-1700.0,2100.0,False
GW230708_053705-v2,GW230708_053705,GWTC-4.1,1372829843.1,O4a,BBH,22.2,51.9,29.1,22.7,49.4,3300.0,0.55,0.06,0.99,0.028,-3.3,4.4,-7.7,10.2,-1700.0,2100.0,True
GW230707_124047-v1,GW230707_124047,GWTC-4.0,1372768865.3,O4a,BBH,35.1,82.0,46.1,36.3,78.0,4400.0,0.71,-0.05,0.99,0.0011,-5.3,8.6,-12.0,20.0,-2300.0,2400.0,False
GW230707_124047-v2,GW230707_124047,GWTC-4.1,1372768865.3,O4a,BBH,35.1,82.0,46.1,36.3,78.0,4400.0,0.71,-0.05,0.99,0.00042,-5.3,8.6,-12.0,20.0,-2300.0,2400.0,True
GW230706_104333-v1,GW230706_104333,GWTC-4.0,1372675431.2,O4a,BBH,11.8,28.0,16.3,11.5,26.6,1910.0,0.35,0.19,0.98,0.23,-1.1,1.6,-3.0,4.3,-970.0,930.0,False
GW230706_104333-v2,GW230706_104333,GWTC-4.1,1372675431.2,O4a,BBH,11.8,28.0,16.3,11.5,26.6,1910.0,0.35,0.19,0.99,0.21999999999999997,-1.1,1.6,-3.0,4.3,-970.0,930.0,True
GW230704_212616-v1,GW230704_212616,GWTC-4.0,1372541194.7,O4a,BBH,56.0,139.0,89.0,50.0,132.0,7300.0,1.06,0.27,0.93,0.51,-15.0,23.0,-32.0,50.0,-4200.0,6200.0,False
GW230704_212616-v2,GW230704_212616,GWTC-4.1,1372541194.7,O4a,BBH,56.0,139.0,89.0,50.0,132.0,7300.0,1.06,0.27,0.93,0.51,-15.0,23.0,-32.0,50.0,-4200.0,6200.0,True
GW230704_021211-v1,GW230704_021211,GWTC-4.0,1372471949.2,O4a,BBH,21.9,53.0,32.6,20.0,50.7,2700.0,0.47,-0.01,0.99,0.21,-3.2,4.4,-8.2,10.9,-1500.0,1900.0,False
GW230704_021211-v2,GW230704_021211,GWTC-4.1,1372471949.2,O4a,BBH,21.9,53.0,32.6,20.0,50.7,2700.0,0.47,-0.01,0.99,0.037,-3.2,4.4,-8.2,10.9,-1500.0,1900.0,True
GW230702_185453-v1,GW230702_185453,GWTC-4.0,1372359311.7,O4a,BBH,22.9,60.0,40.0,18.0,57.0,2500.0,0.44,0.05,0.99,1e-05,-3.6,4.1,-11.0,15.0,-1100.0,2000.0,False
GW230702_185453-v2,GW230702_185453,GWTC-4.1,1372359311.7,O4a,BBH,22.9,60.0,40.0,18.0,57.0,2500.0,0.44,0.05,0.99,1e-05,-3.6,4.1,-11.0,15.0,-1100.0,2000.0,True
GW230702_162025-v1,GW230702_162025,GWTC-4.0,1372350043.9,O4a,unknown,,,,,,,,,0.6,6.5,,,,,,,False
GW230702_162025-v2,GW230702_162025,GWTC-4.1,1372350043.9,O4a,unknown,,,,,,,,,0.6,6.5,,,,,,,True
GW230630_234532-v1,GW230630_234532,GWTC-4.0,1372203950.4,O4a,BBH,7.06,16.8,10.0,6.6,16.1,1090.0,0.21,-0.04,0.99,0.00042,-0.48,0.56,-1.4,2.2,-490.0,520.0,False
GW230630_234532-v2,GW230630_234532,GWTC-4.1,1372203950.4,O4a,BBH,7.06,16.8,10.0,6.6,16.1,1090.0,0.21,-0.04,0.99,0.00042,-0.48,0.56,-1.4,2.2,-490.0,520.0,True
GW230630_125806-v1,GW230630_125806,GWTC-4.0,1372165104.9,O4a,BBH,35.0,84.0,51.0,33.0,80.0,5400.0,0.83,0.18,0.99,0.16,-8.4,11.4,-19.0,26.0,-3000.0,5100.0,False
GW230630_125806-v2,GW230630_125806,GWTC-4.1,1372165104.9,O4a,BBH,35.0,84.0,51.0,33.0,80.0,5400.0,0.83,0.18,0.99,0.048,-8.4,11.4,-19.0,26.0,-3000.0,5100.0,True
GW230630_070659-v1,GW230630_070659,GWTC-4.0,1372144037.0,O4a,unknown,,,,,,,,,0.88,0.47000000000000003,,,,,,,False
GW230630_070659-v2,GW230630_070659,GWTC-4.1,1372144037.0,O4a,unknown,,,,,,,,,0.96,0.47000000000000003,,,,,,,True
GW230628_231200-v1,GW230628_231200,GWTC-4.0,1372029138.4,O4a,BBH,25.5,59.2,32.5,27.0,56.4,2260.0,0.4,-0.01,0.99,1e-05,-2.2,3.8,-4.9,8.5,-1080.0,790.0,False
GW230628_231200-v2,GW230628_231200,GWTC-4.1,1372029138.4,O4a,BBH,25.5,59.2,32.5,27.0,56.4,2260.0,0.4,-0.01,0.99,1e-05,-2.2,3.8,-4.9,8.5,-1080.0,790.0,True
GW230627_015337-v1,GW230627_015337,GWTC-4.0,1371866035.8,O4a,BBH,6.02,14.22,8.4,5.74,13.57,305.0,0.07,0.02,0.99,1e-05,-0.07,0.17,-0.47,0.79,-139.0,65.0,False
GW230627_015337-v2,GW230627_015337,GWTC-4.1,1371866035.8,O4a,BBH,6.02,14.22,8.4,5.74,13.57,305.0,0.07,0.02,0.99,1e-05,-0.07,0.17,-0.47,0.79,-139.0,65.0,True
GW230625_211655-v1,GW230625_211655,GWTC-4.0,1371763033.0,O4a,unknown,,,,,,,,,0.61,42.0,,,,,,,False
GW230625_211655-v2,GW230625_211655,GWTC-4.1,1371763033.0,O4a,unknown,,,,,,,,,0.61,9.8,,,,,,,True
GW230624_214944-v1,GW230624_214944,GWTC-4.0,1371678602.5,O4a,unknown,,,,,,,,,0.69,2.2,,,,,,,False
GW230624_214944-v2,GW230624_214944,GWTC-4.1,1371678602.5,O4a,unknown,,,,,,,,,0.74,2.2,,,,,,,True
GW230624_113103-v1,GW230624_113103,GWTC-4.0,1371641481.7,O4a,BBH,18.0,43.7,27.1,16.1,41.7,1930.0,0.35,0.17,0.99,0.00017999999999999998,-2.3,3.2,-6.5,11.3,-970.0,1270.0,False
GW230624_113103-v2,GW230624_113103,GWTC-4.1,1371641481.7,O4a,BBH,18.0,43.7,27.1,16.1,41.7,1930.0,0.35,0.17,0.99,0.00017,-2.3,3.2,-6.5,11.3,-970.0,1270.0,True
GW230618_102550-v1,GW230618_102550,GWTC-4.0,1371119168.0,O4a,unknown,,,,,,,,,0.59,49.00000000000001,,,,,,,False
GW230618_102550-v2,GW230618_102550,GWTC-4.1,1371119168.0,O4a,unknown,,,,,,,,,0.6,11.0,,,,,,,True
GW230615_160825-v1,GW230615_160825,GWTC-4.0,1370880524.0,O4a,unknown,,,,,,,,,0.5,4.3,,,,,,,False
GW230615_160825-v2,GW230615_160825,GWTC-4.1,1370880524.0,O4a,unknown,,,,,,,,,0.76,4.1,,,,,,,True
GW230610_061439-v1,GW230610_061439,GWTC-4.1,1370412897.4,O4a,unknown,,,,,,,,,0.53,13.0,,,,,,,True
GW230609_064958-v1,GW230609_064958,GWTC-4.0,1370328616.3,O4a,BBH,25.6,60.5,35.4,25.2,58.0,3400.0,0.56,-0.14,0.99,0.00014,-3.7,5.6,-8.3,12.7,-1800.0,1900.0,False
GW230609_064958-v2,GW230609_064958,GWTC-4.1,1370328616.3,O4a,BBH,25.6,60.5,35.4,25.2,58.0,3400.0,0.56,-0.14,0.99,0.0001,-3.7,5.6,-8.3,12.7,-1800.0,1900.0,True
GW230609_010824-v1,GW230609_010824,GWTC-4.0,1370308122.4,O4a,unknown,,,,,,,,,0.81,2.8,,,,,,,False
GW230609_010824-v2,GW230609_010824,GWTC-4.1,1370308122.4,O4a,unknown,,,,,,,,,0.85,2.7,,,,,,,True
GW230608_205047-v1,GW230608_205047,GWTC-4.0,1370292665.2,O4a,BBH,32.7,79.0,48.0,31.0,75.0,3500.0,0.58,0.04,0.99,0.0012,-5.4,7.3,-11.0,16.0,-1700.0,2200.0,False
GW230608_205047-v2,GW230608_205047,GWTC-4.1,1370292665.2,O4a,BBH,32.7,79.0,48.0,31.0,75.0,3500.0,0.58,0.04,0.99,0.0011,-5.4,7.3,-11.0,16.0,-1700.0,2200.0,True
GW230606_065320-v1,GW230606_065320,GWTC-4.1,1370069618.1,O4a,unknown,,,,,,,,,0.64,7.900000000000001,,,,,,,True
GW230606_024545-v1,GW230606_024545,GWTC-4.0,1370054763.5,O4a,unknown,,,,,,,,,0.88,3.2,,,,,,,False
GW230606_024545-v2,GW230606_024545,GWTC-4.1,1370054763.5,O4a,unknown,,,,,,,,,0.88,1.5,,,,,,,True
GW230606_004305-v1,GW230606_004305,GWTC-4.0,1370047403.8,O4a,BBH,26.5,63.4,37.6,25.7,60.8,2800.0,0.48,-0.11,0.99,0.00041,-3.6,5.7,-8.4,13.5,-1400.0,1500.0,False
GW230606_004305-v2,GW230606_004305,GWTC-4.1,1370047403.8,O4a,BBH,26.5,63.4,37.6,25.7,60.8,2800.0,0.48,-0.11,0.99,0.00041,-3.6,5.7,-8.4,13.5,-1400.0,1500.0,True
GW230605_065343-v1,GW230605_065343,GWTC-4.0,1369983241.5,O4a,BBH,11.95,28.6,17.4,11.0,27.3,1060.0,0.21,0.06,0.99,1e-05,-0.94,0.94,-2.8,4.1,-480.0,610.0,False
GW230605_065343-v2,GW230605_065343,GWTC-4.1,1369983241.5,O4a,BBH,11.95,28.6,17.4,11.0,27.3,1060.0,0.21,0.06,0.99,1e-05,-0.94,0.94,-2.8,4.1,-480.0,610.0,True
GW230603_174756-v1,GW230603_174756,GWTC-4.0,1369849694.9,O4a,unknown,,,,,,,,,0.73,8.4,,,,,,,False
GW230603_174756-v2,GW230603_174756,GWTC-4.1,1369849694.9,O4a,unknown,,,,,,,,,0.79,4.0,,,,,,,True
GW230601_224134-v1,GW230601_224134,GWTC-4.0,1369694512.1,O4a,BBH,45.1,107.0,64.0,44.0,102.0,3700.0,0.6,-0.03,0.99,1e-05,-7.4,9.8,-15.0,22.0,-1800.0,2100.0,False
GW230601_224134-v2,GW230601_224134,GWTC-4.1,1369694512.1,O4a,BBH,45.1,107.0,64.0,44.0,102.0,3700.0,0.6,-0.03,0.99,1e-05,-7.4,9.8,-15.0,22.0,-1800.0,2100.0,True
GW230531_141100-v1,GW230531_141100,GWTC-4.0,1369577478.3,O4a,unknown,,,,,,,,,0.69,3.5,,,,,,,False
GW230531_141100-v2,GW230531_141100,GWTC-4.1,1369577478.3,O4a,unknown,,,,,,,,,0.72,3.5,,,,,,,True
GW230529_181500-v1,GW230529_181500,O4_Discovery_Papers,1369419318.7,O4a,NSBH,1.94,5.1,3.6,1.4,,201.0,0.04,-0.1,,0.001,-0.04,0.04,-0.6,0.6,-96.0,102.0,False
GW230529_181500-v2,GW230529_181500,GWTC-4.0,1369419318.7,O4a,NSBH,1.94,5.08,3.66,1.42,,203.0,0.04,-0.1,0.99,0.00022,-0.04,0.04,-0.6,0.61,-98.0,103.0,False
GW230529_181500-v3,GW230529_181500,GWTC-4.1,1369419318.7,O4a,NSBH,1.94,5.08,3.66,1.42,,203.0,0.04,-0.1,0.99,0.00022,-0.04,0.04,-0.6,0.61,-98.0,103.0,True
GW230528_145129-v1,GW230528_145129,GWTC-4.1,1369320707.7,O4a,unknown,,,,,,,,,0.5,14.0,,,,,,,True
GW230518_125908-v1,GW230518_125908,GWTC-4.0,1368449966.2,other,NSBH,2.8,9.61,8.17,1.45,,236.0,0.05,-0.01,0.99,1e-05,-0.06,0.06,-0.79,0.76,-96.0,108.0,False
GW230518_125908-v2,GW230518_125908,GWTC-4.1,1368449966.2,other,NSBH,2.8,9.61,8.17,1.45,,236.0,0.05,-0.01,0.99,1e-05,-0.06,0.06,-0.79,0.76,-96.0,108.0,True
GW230517_044807-v1,GW230517_044807,GWTC-4.1,1368334105.4,other,unknown,,,,,,,,,0.62,8.5,,,,,,,True
GW200322_091133-v1,GW200322_091133,GWTC-3-confident,1268903511.3,O3b,BBH,15.0,50.0,38.0,11.3,48.0,3500.0,0.59,0.27,0.61501,140.0,-4.0,29.5,-22.0,132.0,-2200.0,12500.0,True
GW200316_215756-v1,GW200316_215756,GWTC-3-confident,1268431094.1,O3b,BBH,8.75,21.2,13.1,7.8,20.2,1120.0,0.22,0.13,0.99,1e-05,-0.55,0.62,-2.0,7.2,-440.0,480.0,True
GW200311_115853-v1,GW200311_115853,GWTC-3-confident,1267963151.3,O3b,BBH,26.6,61.9,34.2,27.7,59.0,1170.0,0.23,-0.02,0.99,1e-05,-2.0,2.4,-4.2,5.3,-400.0,280.0,True
