event_key,commonName,catalog_version,GPS,observing_run,source_class,M_chirp,M_total,mass_1_source,mass_2_source,M_final,D_L,redshift,chi_eff,p_astro,far,M_chirp_lower,M_chirp_upper,M_total_lower,M_total_upper,D_L_lower,D_L_upper,is_primary_entry
GW231213_111417-v2,GW231213_111417,GWTC-4.1,1386501275.9,O4a,BBH,26.7,62.6,35.6,27.2,59.6,4000.0,0.65,0.06,0.99,1e-05,-4.2,6.2,-9.4,14.2,-2000.0,2300.0,True
GW231206_233901-v1,GW231206_233901,GWTC-4.0,1385941159.5,O4a,BBH,28.2,66.0,37.6,28.5,63.1,1490.0,0.28,-0.05,0.99,1e-05,-1.8,2.7,-3.7,5.3,-500.0,340.0,False
GW231206_233901-v2,GW231206_233901,GWTC-4.1,1385941159.5,O4a,BBH,28.2,66.0,37.6,28.5,63.1,1490.0,0.28,-0.05,0.99,1e-05,-1.8,2.7,-3.7,5.3,-500.0,340.0,True
GW231206_233134-v1,GW231206_233134,GWTC-4.0,1385940712.5,O4a,BBH,27.2,63.5,35.6,28.2,60.6,3200.0,0.54,-0.08,0.99,1e-05,-3.9,6.1,-8.8,13.7,-1800.0,1800.0,False
GW231206_233134-v2,GW231206_233134,GWTC-4.1,1385940712.5,O4a,BBH,27.2,63.5,35.6,28.2,60.6,3200.0,0.54,-0.08,0.99,1e-05,-3.9,6.1,-8.8,13.7,-1800.0,1800.0,True
GW231206_010629-v1,GW231206_010629,GWTC-4.0,1385860007.2,O4a,unknown,,,,,,,,,0.58,6.8999999999999995,,,,,,,False
GW231206_010629-v2,GW231206_010629,GWTC-4.1,1385860007.2,O4a,unknown,,,,,,,,,0.58,6.8999999999999995,,,,,,,True
GW231204_090648-v1,GW231204_090648,GWTC-4.0,1385716026.9,O4a,unknown,,,,,,,,,0.54,3.5999999999999996,,,,,,,False
GW231204_090648-v2,GW231204_090648,GWTC-4.1,1385716026.9,O4a,unknown,,,,,,,,,0.78,3.5,,,,,,,True
GW231129_081745-v1,GW231129_081745,GWTC-4.0,1385281083.6,O4a,BBH,27.8,69.0,45.0,23.8,66.0,3800.0,0.62,0.03,0.99,0.056,-5.7,7.7,-14.0,17.0,-2100.0,3600.0,False
GW231129_081745-v2,GW231129_081745,GWTC-4.1,1385281083.6,O4a,BBH,27.8,69.0,45.0,23.8,66.0,3800.0,0.62,0.03,0.99,0.056,-5.7,7.7,-14.0,17.0,-2100.0,3600.0,True
GW231127_165300-v1,GW231127_165300,GWTC-4.0,1385139198.9,O4a,BBH,30.4,74.0,45.0,28.0,71.0,4500.0,0.71,0.05,0.99,0.01,-6.7,9.7,-15.0,22.0,-2500.0,3600.0,False
GW231127_165300-v2,GW231127_165300,GWTC-4.1,1385139198.9,O4a,BBH,30.4,74.0,45.0,28.0,71.0,4500.0,0.71,0.05,0.99,0.01,-6.7,9.7,-15.0,22.0,-2500.0,3600.0,True
GW231127_061546-v1,GW231127_061546,GWTC-4.1,1385100964.5,O4a,unknown,,,,,,,,,0.55,11.0,,,,,,,True
GW231126_010928-v1,GW231126_010928,GWTC-4.0,1384996186.3,O4a,unknown,,,,,,,,,0.86,4.2,,,,,,,False
GW231126_010928-v2,GW231126_010928,GWTC-4.1,1384996186.3,O4a,unknown,,,,,,,,,0.86,2.1,,,,,,,True
GW231123_135430-v1,GW231123_135430,O4_Discovery_Papers,1384782888.6,O4a,BBH,102.16679582167775,236.0,137.0,101.0,222.0,2200.0,0.4,0.32,,0.0001,,,-47.0,30.0,-1500.0,1900.0,False
GW231123_135430-v2,GW231123_135430,GWTC-4.0,1384782888.7,O4a,BBH,101.0,236.0,137.0,101.0,222.0,2200.0,0.4,0.32,0.99,1e-05,-30.0,13.0,-47.0,30.0,-1500.0,1900.0,False
GW231123_135430-v3,GW231123_135430,GWTC-4.1,1384782888.7,O4a,BBH,101.0,236.0,137.0,101.0,222.0,2200.0,0.4,0.32,0.99,1e-05,-30.0,13.0,-47.0,30.0,-1500.0,1900.0,True
GW231120_022103-v1,GW231120_022103,GWTC-4.0,1384482081.0,O4a,unknown,,,,,,,,,0.9,3.8000000000000003,,,,,,,False
GW231120_022103-v2,GW231120_022103,GWTC-4.1,1384482081.0,O4a,unknown,,,,,,,,,0.9,1.6,,,,,,,True
GW231119_075248-v1,GW231119_075248,GWTC-4.0,1384415586.1,O4a,BBH,34.5,82.0,49.0,33.0,79.0,6700.0,0.99,,0.99,0.019,-7.9,12.4,-18.0,29.0,-3700.0,5300.0,False
GW231119_075248-v2,GW231119_075248,GWTC-4.1,1384415586.1,O4a,BBH,34.5,82.0,49.0,33.0,79.0,6700.0,0.99,,0.99,0.0029,-7.9,12.4,-18.0,29.0,-3700.0,5300.0,True
GW231118_090602-v1,GW231118_090602,GWTC-4.0,1384333580.0,O4a,BBH,8.36,20.6,12.9,7.4,19.6,1360.0,0.26,0.08,0.99,1e-05,-0.56,0.79,-2.2,9.1,-620.0,550.0,False
GW231118_090602-v2,GW231118_090602,GWTC-4.1,1384333580.0,O4a,BBH,8.36,20.6,12.9,7.4,19.6,1360.0,0.26,0.08,0.99,1e-05,-0.56,0.79,-2.2,9.1,-620.0,550.0,True
GW231118_071402-v1,GW231118_071402,GWTC-4.0,1384326860.2,O4a,BBH,30.3,72.0,43.0,29.0,69.0,4300.0,0.69,0.12,0.99,0.0028,-6.1,8.0,-14.0,18.0,-2300.0,3600.0,False
GW231118_071402-v2,GW231118_071402,GWTC-4.1,1384326860.2,O4a,BBH,30.3,72.0,43.0,29.0,69.0,4300.0,0.69,0.12,0.99,0.00022,-6.1,8.0,-14.0,18.0,-2300.0,3600.0,True
GW231118_005626-v1,GW231118_005626,GWTC-4.0,1384304204.8,O4a,BBH,12.6,31.0,20.0,10.8,29.4,2190.0,0.39,0.38,0.99,1e-05,-1.1,1.6,-3.7,5.9,-970.0,930.0,False
GW231118_005626-v2,GW231118_005626,GWTC-4.1,1384304204.8,O4a,BBH,12.6,31.0,20.0,10.8,29.4,2190.0,0.39,0.38,0.99,1e-05,-1.1,1.6,-3.7,5.9,-970.0,930.0,True
GW231114_043211-v1,GW231114_043211,GWTC-4.0,1383971549.2,O4a,BBH,11.6,31.1,22.8,8.2,30.1,1390.0,0.26,0.08,0.99,0.00013,-1.1,1.1,-4.8,7.3,-620.0,860.0,False
GW231114_043211-v2,GW231114_043211,GWTC-4.1,1383971549.2,O4a,BBH,11.6,31.1,22.8,8.2,30.1,1390.0,0.26,0.08,0.99,0.00011999999999999999,-1.1,1.1,-4.8,7.3,-620.0,860.0,True
GW231113_200417-v1,GW231113_200417,GWTC-4.0,1383941075.9,O4a,BBH,8.0,19.2,11.6,7.4,18.3,1160.0,0.23,0.13,0.99,3.8e-05,-0.64,0.68,-1.9,3.2,-530.0,640.0,False
GW231113_200417-v2,GW231113_200417,GWTC-4.1,1383941075.9,O4a,BBH,8.0,19.2,11.6,7.4,18.3,1160.0,0.23,0.13,0.99,2.7e-05,-0.64,0.68,-1.9,3.2,-530.0,640.0,True
GW231113_150041-v1,GW231113_150041,GWTC-4.0,1383922859.4,O4a,unknown,,,,,,,,,0.96,1.7999999999999998,,,,,,,False
GW231113_150041-v2,GW231113_150041,GWTC-4.1,1383922859.4,O4a,BBH,34.0,85.0,56.0,29.0,82.0,5200.0,0.8,0.04,0.97,0.5,-11.0,18.0,-26.0,46.0,-2800.0,5100.0,True
GW231113_122623-v1,GW231113_122623,GWTC-4.0,1383913601.9,O4a,BBH,27.9,67.0,39.8,26.4,63.0,3400.0,0.56,0.33,0.99,0.28,-5.5,6.3,-13.0,16.0,-1700.0,2400.0,False
GW231113_122623-v2,GW231113_122623,GWTC-4.1,1383913601.9,O4a,BBH,27.9,67.0,39.8,26.4,63.0,3400.0,0.56,0.33,0.99,0.063,-5.5,6.3,-13.0,16.0,-1700.0,2400.0,True
GW231113_112825-v1,GW231113_112825,GWTC-4.1,1383910123.5,O4a,unknown,,,,,,,,,0.51,14.0,,,,,,,True
GW231113_062050-v1,GW231113_062050,GWTC-4.1,1383891668.9,O4a,unknown,,,,,,,,,0.71,5.4,,,,,,,True
GW231110_040320-v1,GW231110_040320,GWTC-4.0,1383624218.2,O4a,BBH,13.4,32.2,19.4,12.6,30.6,1890.0,0.35,0.17,0.99,1e-05,-1.1,1.7,-3.3,4.3,-910.0,850.0,False
GW231110_040320-v2,GW231110_040320,GWTC-4.1,1383624218.2,O4a,BBH,13.4,32.2,19.4,12.6,30.6,1890.0,0.35,0.17,0.99,1e-05,-1.1,1.7,-3.3,4.3,-910.0,850.0,True
GW231108_125142-v1,GW231108_125142,GWTC-4.0,1383483120.5,O4a,BBH,17.3,40.6,23.2,17.4,38.9,2050.0,0.37,-0.08,0.99,1e-05,-1.3,2.1,-3.3,5.1,-890.0,750.0,False
GW231108_125142-v2,GW231108_125142,GWTC-4.1,1383483120.5,O4a,BBH,17.3,40.6,23.2,17.4,38.9,2050.0,0.37,-0.08,0.99,1e-05,-1.3,2.1,-3.3,5.1,-890.0,750.0,True
GW231104_133418-v1,GW231104_133418,GWTC-4.0,1383140076.9,O4a,BBH,8.84,21.0,12.2,8.6,20.0,1470.0,0.28,0.14,0.99,1e-05,-0.56,0.87,-1.7,2.7,-660.0,540.0,False
GW231104_133418-v2,GW231104_133418,GWTC-4.1,1383140076.9,O4a,BBH,8.84,21.0,12.2,8.6,20.0,1470.0,0.28,0.14,0.99,1e-05,-0.56,0.87,-1.7,2.7,-660.0,540.0,True
GW231102_232433-v1,GW231102_232433,GWTC-4.0,1383002691.5,O4a,unknown,,,,,,,,,0.8,2.5,,,,,,,False
GW231102_232433-v2,GW231102_232433,GWTC-4.1,1383002691.5,O4a,unknown,,,,,,,,,0.8,2.5,,,,,,,True
GW231102_071736-v1,GW231102_071736,GWTC-4.0,1382944674.4,O4a,BBH,43.3,102.0,61.0,42.0,98.0,3800.0,0.63,0.06,0.99,1e-05,-6.3,9.5,-13.0,21.0,-1800.0,2100.0,False
GW231102_071736-v2,GW231102_071736,GWTC-4.1,1382944674.4,O4a,BBH,43.3,102.0,61.0,42.0,98.0,3800.0,0.63,0.06,0.99,1e-05,-6.3,9.5,-13.0,21.0,-1800.0,2100.0,True
GW231102_052214-v1,GW231102_052214,GWTC-4.0,1382937752.4,O4a,unknown,,,,,,,,,0.72,4.0,,,,,,,False
GW231102_052214-v2,GW231102_052214,GWTC-4.1,1382937752.4,O4a,unknown,,,,,,,,,0.72,4.0,,,,,,,True
GW231029_111508-v1,GW231029_111508,GWTC-4.0,1382613326.8,O4a,BBH,44.4,106.0,65.0,42.0,101.0,3100.0,0.53,0.14,0.99,5.2000000000000004e-05,-8.0,10.4,-16.0,22.0,-1700.0,2400.0,False
GW231029_111508-v2,GW231029_111508,GWTC-4.1,1382613326.8,O4a,BBH,44.4,106.0,65.0,42.0,101.0,3100.0,0.53,0.14,0.99,5.1e-05,-8.0,10.4,-16.0,22.0,-1700.0,2400.0,True
GW231028_153006-v1,GW231028_153006,GWTC-4.0,1382542224.3,O4a,BBH,63.0,153.0,94.0,59.0,144.0,4200.0,0.68,0.45,0.99,1e-05,-9.7,13.1,-14.0,29.0,-1900.0,1300.0,False
GW231028_153006-v2,GW231028_153006,GWTC-4.1,1382542224.3,O4a,BBH,63.0,153.0,94.0,59.0,144.0,4200.0,0.68,0.45,0.99,1e-05,-9.7,13.1,-14.0,29.0,-1900.0,1300.0,True
GW231026_130704-v1,GW231026_130704,GWTC-4.0,1382360842.2,O4a,unknown,,,,,,,,,0.93,1.7,,,,,,,False
